region_bld,clim,urt,mat,year,value
C-EEU-EST,Zone_6A Cold Humid,rur,sub,2085,0
C-EEU-EST,Zone_6A Cold Humid,rur,sub,2090,0
C-EEU-EST,Zone_6A Cold Humid,rur,sub,2095,0
C-EEU-EST,Zone_6A Cold Humid,rur,sub,2100,0
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2015,1
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2020,1
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2025,1
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2030,1
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2035,1
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2040,1
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2045,1
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2050,1
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2055,1
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2060,1
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2065,1
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2070,1
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2075,1
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2080,1
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2085,1
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2090,1
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2095,1
C-EEU-EST,Zone_6A Cold Humid,urb,perm,2100,1
C-EEU-EST,Zone_6A Cold Humid,urb,sub,2015,0
C-EEU-EST,Zone_6A Cold Humid,urb,sub,2020,0
C-EEU-EST,Zone_6A Cold Humid,urb,sub,2025,0
C-EEU-EST,Zone_6A Cold Humid,urb,sub,2030,0
C-EEU-EST,Zone_6A Cold Humid,urb,sub,2035,0
C-EEU-EST,Zone_6A Cold Humid,urb,sub,2040,0
C-EEU-EST,Zone_6A Cold Humid,urb,sub,2045,0
C-EEU-EST,Zone_6A Cold Humid,urb,sub,2050,0
C-EEU-EST,Zone_6A Cold Humid,urb,sub,2055,0
C-EEU-EST,Zone_6A Cold Humid,urb,sub,2060,0
C-EEU-EST,Zone_6A Cold Humid,urb,sub,2065,0
C-EEU-EST,Zone_6A Cold Humid,urb,sub,2070,0
C-EEU-EST,Zone_6A Cold Humid,urb,sub,2075,0
C-EEU-EST,Zone_6A Cold Humid,urb,sub,2080,0
C-EEU-EST,Zone_6A Cold Humid,urb,sub,2085,0
C-EEU-EST,Zone_6A Cold Humid,urb,sub,2090,0
C-EEU-EST,Zone_6A Cold Humid,urb,sub,2095,0
C-EEU-EST,Zone_6A Cold Humid,urb,sub,2100,0
C-EEU-HUN,Zone_4A Mixed Humid,rur,perm,2015,1
C-EEU-HUN,Zone_4A Mixed Humid,rur,perm,2020,1
C-EEU-HUN,Zone_4A Mixed Humid,rur,perm,2025,1
C-EEU-HUN,Zone_4A Mixed Humid,rur,perm,2030,1
C-EEU-HUN,Zone_4A Mixed Humid,rur,perm,2035,1
C-EEU-HUN,Zone_4A Mixed Humid,rur,perm,2040,1
C-EEU-HUN,Zone_4A Mixed Humid,rur,perm,2045,1
C-EEU-HUN,Zone_4A Mixed Humid,rur,perm,2050,1
C-EEU-HUN,Zone_4A Mixed Humid,rur,perm,2055,1
C-EEU-HUN,Zone_4A Mixed Humid,rur,perm,2060,1
C-EEU-HUN,Zone_4A Mixed Humid,rur,perm,2065,1
C-EEU-HUN,Zone_4A Mixed Humid,rur,perm,2070,1
C-EEU-HUN,Zone_4A Mixed Humid,rur,perm,2075,1
C-EEU-HUN,Zone_4A Mixed Humid,rur,perm,2080,1
C-EEU-HUN,Zone_4A Mixed Humid,rur,perm,2085,1
C-EEU-HUN,Zone_4A Mixed Humid,rur,perm,2090,1
C-EEU-HUN,Zone_4A Mixed Humid,rur,perm,2095,1
C-EEU-HUN,Zone_4A Mixed Humid,rur,perm,2100,1
C-EEU-HUN,Zone_4A Mixed Humid,rur,sub,2015,0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sub,2020,0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sub,2025,0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sub,2030,0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sub,2035,0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sub,2040,0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sub,2045,0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sub,2050,0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sub,2055,0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sub,2060,0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sub,2065,0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sub,2070,0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sub,2075,0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sub,2080,0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sub,2085,0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sub,2090,0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sub,2095,0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sub,2100,0
C-EEU-HUN,Zone_4A Mixed Humid,urb,perm,2015,1
C-EEU-HUN,Zone_4A Mixed Humid,urb,perm,2020,1
C-EEU-HUN,Zone_4A Mixed Humid,urb,perm,2025,1
C-EEU-HUN,Zone_4A Mixed Humid,urb,perm,2030,1
C-EEU-HUN,Zone_4A Mixed Humid,urb,perm,2035,1
C-EEU-HUN,Zone_4A Mixed Humid,urb,perm,2040,1
C-EEU-HUN,Zone_4A Mixed Humid,urb,perm,2045,1
C-EEU-HUN,Zone_4A Mixed Humid,urb,perm,2050,1
C-EEU-HUN,Zone_4A Mixed Humid,urb,perm,2055,1
C-EEU-HUN,Zone_4A Mixed Humid,urb,perm,2060,1
C-EEU-HUN,Zone_4A Mixed Humid,urb,perm,2065,1
C-EEU-HUN,Zone_4A Mixed Humid,urb,perm,2070,1
C-EEU-HUN,Zone_4A Mixed Humid,urb,perm,2075,1
C-EEU-HUN,Zone_4A Mixed Humid,urb,perm,2080,1
C-EEU-HUN,Zone_4A Mixed Humid,urb,perm,2085,1
C-EEU-HUN,Zone_4A Mixed Humid,urb,perm,2090,1
C-EEU-HUN,Zone_4A Mixed Humid,urb,perm,2095,1
C-EEU-HUN,Zone_4A Mixed Humid,urb,perm,2100,1
C-EEU-HUN,Zone_4A Mixed Humid,urb,sub,2015,0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sub,2020,0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sub,2025,0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sub,2030,0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sub,2035,0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sub,2040,0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sub,2045,0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sub,2050,0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sub,2055,0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sub,2060,0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sub,2065,0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sub,2070,0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sub,2075,0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sub,2080,0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sub,2085,0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sub,2090,0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sub,2095,0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sub,2100,0
C-EEU-HUN,Zone_5A Cool Humid,rur,perm,2015,1
C-EEU-HUN,Zone_5A Cool Humid,rur,perm,2020,1
C-EEU-HUN,Zone_5A Cool Humid,rur,perm,2025,1
C-EEU-HUN,Zone_5A Cool Humid,rur,perm,2030,1
C-EEU-HUN,Zone_5A Cool Humid,rur,perm,2035,1
C-EEU-HUN,Zone_5A Cool Humid,rur,perm,2040,1
C-EEU-HUN,Zone_5A Cool Humid,rur,perm,2045,1
C-EEU-HUN,Zone_5A Cool Humid,rur,perm,2050,1
C-EEU-HUN,Zone_5A Cool Humid,rur,perm,2055,1
C-EEU-HUN,Zone_5A Cool Humid,rur,perm,2060,1
C-EEU-HUN,Zone_5A Cool Humid,rur,perm,2065,1
C-EEU-HUN,Zone_5A Cool Humid,rur,perm,2070,1
C-EEU-HUN,Zone_5A Cool Humid,rur,perm,2075,1
C-EEU-HUN,Zone_5A Cool Humid,rur,perm,2080,1
C-EEU-HUN,Zone_5A Cool Humid,rur,perm,2085,1
C-EEU-HUN,Zone_5A Cool Humid,rur,perm,2090,1
C-EEU-HUN,Zone_5A Cool Humid,rur,perm,2095,1
C-EEU-HUN,Zone_5A Cool Humid,rur,perm,2100,1
C-EEU-HUN,Zone_5A Cool Humid,rur,sub,2015,0
C-EEU-HUN,Zone_5A Cool Humid,rur,sub,2020,0
C-EEU-HUN,Zone_5A Cool Humid,rur,sub,2025,0
C-EEU-HUN,Zone_5A Cool Humid,rur,sub,2030,0
C-EEU-HUN,Zone_5A Cool Humid,rur,sub,2035,0
C-EEU-HUN,Zone_5A Cool Humid,rur,sub,2040,0
C-EEU-HUN,Zone_5A Cool Humid,rur,sub,2045,0
C-EEU-HUN,Zone_5A Cool Humid,rur,sub,2050,0
C-EEU-HUN,Zone_5A Cool Humid,rur,sub,2055,0
C-EEU-HUN,Zone_5A Cool Humid,rur,sub,2060,0
C-EEU-HUN,Zone_5A Cool Humid,rur,sub,2065,0
C-EEU-HUN,Zone_5A Cool Humid,rur,sub,2070,0
C-EEU-HUN,Zone_5A Cool Humid,rur,sub,2075,0
C-EEU-HUN,Zone_5A Cool Humid,rur,sub,2080,0
C-EEU-HUN,Zone_5A Cool Humid,rur,sub,2085,0
C-EEU-HUN,Zone_5A Cool Humid,rur,sub,2090,0
C-EEU-HUN,Zone_5A Cool Humid,rur,sub,2095,0
C-EEU-HUN,Zone_5A Cool Humid,rur,sub,2100,0
C-EEU-HUN,Zone_5A Cool Humid,urb,perm,2015,1
C-EEU-HUN,Zone_5A Cool Humid,urb,perm,2020,1
C-EEU-HUN,Zone_5A Cool Humid,urb,perm,2025,1
C-EEU-HUN,Zone_5A Cool Humid,urb,perm,2030,1
C-EEU-HUN,Zone_5A Cool Humid,urb,perm,2035,1
C-EEU-HUN,Zone_5A Cool Humid,urb,perm,2040,1
C-EEU-HUN,Zone_5A Cool Humid,urb,perm,2045,1
C-EEU-HUN,Zone_5A Cool Humid,urb,perm,2050,1
C-EEU-HUN,Zone_5A Cool Humid,urb,perm,2055,1
C-EEU-HUN,Zone_5A Cool Humid,urb,perm,2060,1
C-EEU-HUN,Zone_5A Cool Humid,urb,perm,2065,1
C-EEU-HUN,Zone_5A Cool Humid,urb,perm,2070,1
