region_bld,ssp,clim,urt,inc_cl,mat,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
C-EEU-BGR,SSP1,Zone_4A Mixed Humid,rur,q1,perm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C-EEU-BGR,SSP1,Zone_4A Mixed Humid,rur,q1,sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-EEU-BGR,SSP1,Zone_4A Mixed Humid,rur,q2,perm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C-EEU-BGR,SSP1,Zone_4A Mixed Humid,rur,q2,sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-EEU-BGR,SSP1,Zone_4A Mixed Humid,rur,q3,perm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C-EEU-BGR,SSP1,Zone_4A Mixed Humid,rur,q3,sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-EEU-BGR,SSP1,Zone_4A Mixed Humid,urb,q1,perm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C-EEU-BGR,SSP1,Zone_4A Mixed Humid,urb,q1,sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-EEU-BGR,SSP1,Zone_4A Mixed Humid,urb,q2,perm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C-EEU-BGR,SSP1,Zone_4A Mixed Humid,urb,q2,sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-EEU-BGR,SSP1,Zone_4A Mixed Humid,urb,q3,perm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C-EEU-BGR,SSP1,Zone_4A Mixed Humid,urb,q3,sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-EEU-BGR,SSP1,Zone_5A Cool Humid,rur,q1,perm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C-EEU-BGR,SSP1,Zone_5A Cool Humid,rur,q1,sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-EEU-BGR,SSP1,Zone_5A Cool Humid,rur,q2,perm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C-EEU-BGR,SSP1,Zone_5A Cool Humid,rur,q2,sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-EEU-BGR,SSP1,Zone_5A Cool Humid,rur,q3,perm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C-EEU-BGR,SSP1,Zone_5A Cool Humid,rur,q3,sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-EEU-BGR,SSP1,Zone_5A Cool Humid,urb,q1,perm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C-EEU-BGR,SSP1,Zone_5A Cool Humid,urb,q1,sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-EEU-BGR,SSP1,Zone_5A Cool Humid,urb,q2,perm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C-EEU-BGR,SSP1,Zone_5A Cool Humid,urb,q2,sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-EEU-BGR,SSP1,Zone_5A Cool Humid,urb,q3,perm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C-EEU-BGR,SSP1,Zone_5A Cool Humid,urb,q3,sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-EEU-CZE,SSP1,Zone_5A Cool Humid,rur,q1,perm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C-EEU-CZE,SSP1,Zone_5A Cool Humid,rur,q1,sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-EEU-CZE,SSP1,Zone_5A Cool Humid,rur,q2,perm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C-EEU-CZE,SSP1,Zone_5A Cool Humid,rur,q2,sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-EEU-CZE,SSP1,Zone_5A Cool Humid,rur,q3,perm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C-EEU-CZE,SSP1,Zone_5A Cool Humid,rur,q3,sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-EEU-CZE,SSP1,Zone_5A Cool Humid,urb,q1,perm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C-EEU-CZE,SSP1,Zone_5A Cool Humid,urb,q1,sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-EEU-CZE,SSP1,Zone_5A Cool Humid,urb,q2,perm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C-EEU-CZE,SSP1,Zone_5A Cool Humid,urb,q2,sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
