ssp,scenario,region_gea,fuel_heat_f,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
SSP2,nsp,AFR,electricity,8806.4172,8586.25677,8366.09634,8145.93591,7925.77548,7705.61505,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462
SSP2,nsp,AFR,gas,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977
SSP2,nsp,CPA,electricity,8806.4172,8586.25677,8366.09634,8145.93591,7925.77548,7705.61505,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462
SSP2,nsp,CPA,gas,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977
SSP2,nsp,EEU,electricity,8806.4172,8586.25677,8366.09634,8145.93591,7925.77548,7705.61505,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462
SSP2,nsp,EEU,gas,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977
SSP2,nsp,FSU,electricity,8806.4172,8586.25677,8366.09634,8145.93591,7925.77548,7705.61505,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462
SSP2,nsp,FSU,gas,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977
SSP2,nsp,LAC,electricity,8806.4172,8586.25677,8366.09634,8145.93591,7925.77548,7705.61505,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462
SSP2,nsp,LAC,gas,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977
SSP2,nsp,MEA,electricity,8806.4172,8586.25677,8366.09634,8145.93591,7925.77548,7705.61505,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462
SSP2,nsp,MEA,gas,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977
SSP2,nsp,NAM,electricity,8806.4172,8586.25677,8366.09634,8145.93591,7925.77548,7705.61505,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462
SSP2,nsp,NAM,gas,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977
SSP2,nsp,PAO,electricity,8806.4172,8586.25677,8366.09634,8145.93591,7925.77548,7705.61505,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462
SSP2,nsp,PAO,gas,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977
SSP2,nsp,PAS,electricity,8806.4172,8586.25677,8366.09634,8145.93591,7925.77548,7705.61505,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462
SSP2,nsp,PAS,gas,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977
SSP2,nsp,SAS,electricity,8806.4172,8586.25677,8366.09634,8145.93591,7925.77548,7705.61505,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462
SSP2,nsp,SAS,gas,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977
SSP2,nsp,WEU,electricity,8806.4172,8586.25677,8366.09634,8145.93591,7925.77548,7705.61505,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462,7485.45462
SSP2,nsp,WEU,gas,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977,6528.31977
