region_gea,eneff,mat,eneff_f,year,value
AFR,s1,perm,s1,NA,0
AFR,s1,perm,s1,NA,0
AFR,s1,perm,s1,NA,0
AFR,s1,perm,s1,NA,0
AFR,s1,perm,s1,NA,0
AFR,s1,perm,s1,NA,0
AFR,s1,perm,s1,NA,0
AFR,s1,perm,s1,NA,0
AFR,s1,perm,s1,NA,0
AFR,s1,perm,s1,NA,0
AFR,s1,perm,s1,NA,0
AFR,s1,perm,s1,NA,0
AFR,s1,perm,s1,NA,0
AFR,s1,perm,s1,NA,0
AFR,s1,perm,s1,NA,0
AFR,s1,perm,s1,NA,0
AFR,s1,perm,s1,NA,0
AFR,s1,perm,sr11_std,NA,0
AFR,s1,perm,sr11_std,NA,0
AFR,s1,perm,sr11_std,NA,0
AFR,s1,perm,sr11_std,NA,0
AFR,s1,perm,sr11_std,NA,0
AFR,s1,perm,sr11_std,NA,0
AFR,s1,perm,sr11_std,NA,0
AFR,s1,perm,sr11_std,NA,0
AFR,s1,perm,sr11_std,NA,0
AFR,s1,perm,sr11_std,NA,0
AFR,s1,perm,sr11_std,NA,0
AFR,s1,perm,sr11_std,NA,0
AFR,s1,perm,sr11_std,NA,0
AFR,s1,perm,sr11_std,NA,0
AFR,s1,perm,sr11_std,NA,0
AFR,s1,perm,sr11_std,NA,0
AFR,s1,perm,sr11_std,NA,0
AFR,s1,perm,sr12_low,NA,99999
AFR,s1,perm,sr12_low,NA,99999
AFR,s1,perm,sr12_low,NA,99999
AFR,s1,perm,sr12_low,NA,99999
AFR,s1,perm,sr12_low,NA,99999
AFR,s1,perm,sr12_low,NA,99999
AFR,s1,perm,sr12_low,NA,99999
AFR,s1,perm,sr12_low,NA,99999
AFR,s1,perm,sr12_low,NA,99999
AFR,s1,perm,sr12_low,NA,99999
AFR,s1,perm,sr12_low,NA,99999
AFR,s1,perm,sr12_low,NA,99999
AFR,s1,perm,sr12_low,NA,99999
AFR,s1,perm,sr12_low,NA,99999
AFR,s1,perm,sr12_low,NA,99999
AFR,s1,perm,sr12_low,NA,99999
AFR,s1,perm,sr12_low,NA,99999
AFR,s2,perm,s2,NA,0
AFR,s2,perm,s2,NA,0
AFR,s2,perm,s2,NA,0
AFR,s2,perm,s2,NA,0
AFR,s2,perm,s2,NA,0
AFR,s2,perm,s2,NA,0
AFR,s2,perm,s2,NA,0
AFR,s2,perm,s2,NA,0
AFR,s2,perm,s2,NA,0
AFR,s2,perm,s2,NA,0
AFR,s2,perm,s2,NA,0
AFR,s2,perm,s2,NA,0
AFR,s2,perm,s2,NA,0
AFR,s2,perm,s2,NA,0
AFR,s2,perm,s2,NA,0
AFR,s2,perm,s2,NA,0
AFR,s2,perm,s2,NA,0
AFR,s2,perm,sr21_std,NA,0
AFR,s2,perm,sr21_std,NA,0
AFR,s2,perm,sr21_std,NA,0
AFR,s2,perm,sr21_std,NA,0
AFR,s2,perm,sr21_std,NA,0
AFR,s2,perm,sr21_std,NA,0
AFR,s2,perm,sr21_std,NA,0
AFR,s2,perm,sr21_std,NA,0
AFR,s2,perm,sr21_std,NA,0
AFR,s2,perm,sr21_std,NA,0
AFR,s2,perm,sr21_std,NA,0
AFR,s2,perm,sr21_std,NA,0
AFR,s2,perm,sr21_std,NA,0
AFR,s2,perm,sr21_std,NA,0
AFR,s2,perm,sr21_std,NA,0
AFR,s2,perm,sr21_std,NA,0
AFR,s2,perm,sr21_std,NA,0
AFR,s2,perm,sr22_low,NA,99999
AFR,s2,perm,sr22_low,NA,99999
AFR,s2,perm,sr22_low,NA,99999
AFR,s2,perm,sr22_low,NA,99999
AFR,s2,perm,sr22_low,NA,99999
AFR,s2,perm,sr22_low,NA,99999
AFR,s2,perm,sr22_low,NA,99999
AFR,s2,perm,sr22_low,NA,99999
AFR,s2,perm,sr22_low,NA,99999
AFR,s2,perm,sr22_low,NA,99999
AFR,s2,perm,sr22_low,NA,99999
AFR,s2,perm,sr22_low,NA,99999
AFR,s2,perm,sr22_low,NA,99999
AFR,s2,perm,sr22_low,NA,99999
AFR,s2,perm,sr22_low,NA,99999
AFR,s2,perm,sr22_low,NA,99999
AFR,s2,perm,sr22_low,NA,99999
AFR,s3,perm,s3,NA,0
AFR,s3,perm,s3,NA,0
AFR,s3,perm,s3,NA,0
AFR,s3,perm,s3,NA,0
AFR,s3,perm,s3,NA,0
AFR,s3,perm,s3,NA,0
AFR,s3,perm,s3,NA,0
AFR,s3,perm,s3,NA,0
AFR,s3,perm,s3,NA,0
AFR,s3,perm,s3,NA,0
AFR,s3,perm,s3,NA,0
AFR,s3,perm,s3,NA,0
AFR,s3,perm,s3,NA,0
AFR,s3,perm,s3,NA,0
AFR,s3,perm,s3,NA,0
AFR,s3,perm,s3,NA,0
AFR,s3,perm,s3,NA,0
AFR,s3,perm,sr31_std,NA,0
AFR,s3,perm,sr31_std,NA,0
AFR,s3,perm,sr31_std,NA,0
AFR,s3,perm,sr31_std,NA,0
AFR,s3,perm,sr31_std,NA,0
AFR,s3,perm,sr31_std,NA,0
AFR,s3,perm,sr31_std,NA,0
AFR,s3,perm,sr31_std,NA,0
AFR,s3,perm,sr31_std,NA,0
AFR,s3,perm,sr31_std,NA,0
AFR,s3,perm,sr31_std,NA,0
AFR,s3,perm,sr31_std,NA,0
AFR,s3,perm,sr31_std,NA,0
AFR,s3,perm,sr31_std,NA,0
AFR,s3,perm,sr31_std,NA,0
AFR,s3,perm,sr31_std,NA,0
AFR,s3,perm,sr31_std,NA,0
AFR,s3,perm,sr32_low,NA,99999
AFR,s3,perm,sr32_low,NA,99999
AFR,s3,perm,sr32_low,NA,99999
AFR,s3,perm,sr32_low,NA,99999
AFR,s3,perm,sr32_low,NA,99999
AFR,s3,perm,sr32_low,NA,99999
AFR,s3,perm,sr32_low,NA,99999
AFR,s3,perm,sr32_low,NA,99999
AFR,s3,perm,sr32_low,NA,99999
AFR,s3,perm,sr32_low,NA,99999
AFR,s3,perm,sr32_low,NA,99999
AFR,s3,perm,sr32_low,NA,99999
AFR,s3,perm,sr32_low,NA,99999
AFR,s3,perm,sr32_low,NA,99999
AFR,s3,perm,sr32_low,NA,99999
AFR,s3,perm,sr32_low,NA,99999
AFR,s3,perm,sr32_low,NA,99999
CPA,s1,perm,s1,NA,0
CPA,s1,perm,s1,NA,0
CPA,s1,perm,s1,NA,0
CPA,s1,perm,s1,NA,0
CPA,s1,perm,s1,NA,0
CPA,s1,perm,s1,NA,0
CPA,s1,perm,s1,NA,0
CPA,s1,perm,s1,NA,0
CPA,s1,perm,s1,NA,0
CPA,s1,perm,s1,NA,0
CPA,s1,perm,s1,NA,0
CPA,s1,perm,s1,NA,0
CPA,s1,perm,s1,NA,0
CPA,s1,perm,s1,NA,0
CPA,s1,perm,s1,NA,0
CPA,s1,perm,s1,NA,0
CPA,s1,perm,s1,NA,0
CPA,s1,perm,sr11_std,NA,0
CPA,s1,perm,sr11_std,NA,0
CPA,s1,perm,sr11_std,NA,0
CPA,s1,perm,sr11_std,NA,0
CPA,s1,perm,sr11_std,NA,0
CPA,s1,perm,sr11_std,NA,0
CPA,s1,perm,sr11_std,NA,0
CPA,s1,perm,sr11_std,NA,0
CPA,s1,perm,sr11_std,NA,0
CPA,s1,perm,sr11_std,NA,0
CPA,s1,perm,sr11_std,NA,0
CPA,s1,perm,sr11_std,NA,0
CPA,s1,perm,sr11_std,NA,0
CPA,s1,perm,sr11_std,NA,0
CPA,s1,perm,sr11_std,NA,0
CPA,s1,perm,sr11_std,NA,0
CPA,s1,perm,sr11_std,NA,0
CPA,s1,perm,sr12_low,NA,99999
CPA,s1,perm,sr12_low,NA,99999
CPA,s1,perm,sr12_low,NA,99999
CPA,s1,perm,sr12_low,NA,99999
CPA,s1,perm,sr12_low,NA,99999
CPA,s1,perm,sr12_low,NA,99999
CPA,s1,perm,sr12_low,NA,99999
CPA,s1,perm,sr12_low,NA,99999
CPA,s1,perm,sr12_low,NA,99999
CPA,s1,perm,sr12_low,NA,99999
CPA,s1,perm,sr12_low,NA,99999
CPA,s1,perm,sr12_low,NA,99999
CPA,s1,perm,sr12_low,NA,99999
CPA,s1,perm,sr12_low,NA,99999
CPA,s1,perm,sr12_low,NA,99999
CPA,s1,perm,sr12_low,NA,99999
CPA,s1,perm,sr12_low,NA,99999
CPA,s2,perm,s2,NA,0
CPA,s2,perm,s2,NA,0
CPA,s2,perm,s2,NA,0
CPA,s2,perm,s2,NA,0
CPA,s2,perm,s2,NA,0
CPA,s2,perm,s2,NA,0
CPA,s2,perm,s2,NA,0
CPA,s2,perm,s2,NA,0
CPA,s2,perm,s2,NA,0
CPA,s2,perm,s2,NA,0
CPA,s2,perm,s2,NA,0
CPA,s2,perm,s2,NA,0
CPA,s2,perm,s2,NA,0
CPA,s2,perm,s2,NA,0
CPA,s2,perm,s2,NA,0
CPA,s2,perm,s2,NA,0
CPA,s2,perm,s2,NA,0
CPA,s2,perm,sr21_std,NA,0
CPA,s2,perm,sr21_std,NA,0
CPA,s2,perm,sr21_std,NA,0
CPA,s2,perm,sr21_std,NA,0
CPA,s2,perm,sr21_std,NA,0
CPA,s2,perm,sr21_std,NA,0
CPA,s2,perm,sr21_std,NA,0
CPA,s2,perm,sr21_std,NA,0
CPA,s2,perm,sr21_std,NA,0
CPA,s2,perm,sr21_std,NA,0
CPA,s2,perm,sr21_std,NA,0
CPA,s2,perm,sr21_std,NA,0
CPA,s2,perm,sr21_std,NA,0
CPA,s2,perm,sr21_std,NA,0
CPA,s2,perm,sr21_std,NA,0
CPA,s2,perm,sr21_std,NA,0
CPA,s2,perm,sr21_std,NA,0
CPA,s2,perm,sr22_low,NA,99999
CPA,s2,perm,sr22_low,NA,99999
CPA,s2,perm,sr22_low,NA,99999
CPA,s2,perm,sr22_low,NA,99999
CPA,s2,perm,sr22_low,NA,99999
CPA,s2,perm,sr22_low,NA,99999
CPA,s2,perm,sr22_low,NA,99999
CPA,s2,perm,sr22_low,NA,99999
CPA,s2,perm,sr22_low,NA,99999
CPA,s2,perm,sr22_low,NA,99999
CPA,s2,perm,sr22_low,NA,99999
CPA,s2,perm,sr22_low,NA,99999
CPA,s2,perm,sr22_low,NA,99999
CPA,s2,perm,sr22_low,NA,99999
CPA,s2,perm,sr22_low,NA,99999
CPA,s2,perm,sr22_low,NA,99999
CPA,s2,perm,sr22_low,NA,99999
CPA,s3,perm,s3,NA,0
CPA,s3,perm,s3,NA,0
CPA,s3,perm,s3,NA,0
CPA,s3,perm,s3,NA,0
CPA,s3,perm,s3,NA,0
CPA,s3,perm,s3,NA,0
CPA,s3,perm,s3,NA,0
CPA,s3,perm,s3,NA,0
CPA,s3,perm,s3,NA,0
CPA,s3,perm,s3,NA,0
CPA,s3,perm,s3,NA,0
CPA,s3,perm,s3,NA,0
CPA,s3,perm,s3,NA,0
CPA,s3,perm,s3,NA,0
CPA,s3,perm,s3,NA,0
CPA,s3,perm,s3,NA,0
