region_bld,clim,urt,mat,year,arch,value
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2015,mfh,0.426
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2015,sfh,0.574
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2020,mfh,0.426
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2020,sfh,0.574
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2025,mfh,0.426
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2025,sfh,0.574
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2030,mfh,0.451
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2030,sfh,0.5489999999999999
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2035,mfh,0.476
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2035,sfh,0.524
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2040,mfh,0.501
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2040,sfh,0.49899999999999994
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2045,mfh,0.526
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2045,sfh,0.4739999999999999
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2050,mfh,0.5509999999999999
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2050,sfh,0.449
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2055,mfh,0.5509999999999999
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2055,sfh,0.449
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2060,mfh,0.5509999999999999
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2060,sfh,0.449
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2065,mfh,0.5509999999999999
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2065,sfh,0.449
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2070,mfh,0.5509999999999999
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2070,sfh,0.449
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2075,mfh,0.5509999999999999
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2075,sfh,0.449
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2080,mfh,0.5509999999999999
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2080,sfh,0.449
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2085,mfh,0.5509999999999999
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2085,sfh,0.449
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2090,mfh,0.5509999999999999
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2090,sfh,0.449
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2095,mfh,0.5509999999999999
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2095,sfh,0.449
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2100,mfh,0.5509999999999999
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,2100,sfh,0.449
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2015,mfh,0.609
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2015,sfh,0.391
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2020,mfh,0.609
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2020,sfh,0.391
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2025,mfh,0.609
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2025,sfh,0.391
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2030,mfh,0.634
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2030,sfh,0.366
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2035,mfh,0.659
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2035,sfh,0.34099999999999997
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2040,mfh,0.6839999999999999
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2040,sfh,0.31600000000000006
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2045,mfh,0.709
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2045,sfh,0.29100000000000004
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2050,mfh,0.734
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2050,sfh,0.266
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2055,mfh,0.734
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2055,sfh,0.266
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2060,mfh,0.734
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2060,sfh,0.266
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2065,mfh,0.734
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2065,sfh,0.266
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2070,mfh,0.734
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2070,sfh,0.266
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,2075,mfh,0.734
