region_gea,material,year,eol_treat,value
AFR,aluminum,2015,reuse,0
AFR,aluminum,2015,recycling,0.8
AFR,aluminum,2015,downcycling,0
AFR,aluminum,2015,others,0.19999999999999996
AFR,aluminum,2020,reuse,0
AFR,aluminum,2020,recycling,0.8
AFR,aluminum,2020,downcycling,0
AFR,aluminum,2020,others,0.19999999999999996
AFR,aluminum,2025,reuse,0
AFR,aluminum,2025,recycling,0.8
AFR,aluminum,2025,downcycling,0
AFR,aluminum,2025,others,0.19999999999999996
AFR,aluminum,2030,reuse,0
AFR,aluminum,2030,recycling,0.8035714285714286
AFR,aluminum,2030,downcycling,0
AFR,aluminum,2030,others,0.1964285714285714
AFR,aluminum,2035,reuse,0
AFR,aluminum,2035,recycling,0.8071428571428572
AFR,aluminum,2035,downcycling,0
AFR,aluminum,2035,others,0.1928571428571428
AFR,aluminum,2040,reuse,0
AFR,aluminum,2040,recycling,0.8107142857142857
AFR,aluminum,2040,downcycling,0
AFR,aluminum,2040,others,0.18928571428571425
AFR,aluminum,2045,reuse,0
AFR,aluminum,2045,recycling,0.8142857142857143
AFR,aluminum,2045,downcycling,0
AFR,aluminum,2045,others,0.18571428571428567
AFR,aluminum,2050,reuse,0
AFR,aluminum,2050,recycling,0.817857142857143
AFR,aluminum,2050,downcycling,0
AFR,aluminum,2050,others,0.1821428571428571
AFR,aluminum,2055,reuse,0
AFR,aluminum,2055,recycling,0.8214285714285715
AFR,aluminum,2055,downcycling,0
AFR,aluminum,2055,others,0.17857142857142852
AFR,aluminum,2060,reuse,0
AFR,aluminum,2060,recycling,0.8250000000000001
AFR,aluminum,2060,downcycling,0
AFR,aluminum,2060,others,0.17499999999999996
AFR,aluminum,2065,reuse,0
AFR,aluminum,2065,recycling,0.8250000000000001
AFR,aluminum,2065,downcycling,0
AFR,aluminum,2065,others,0.17499999999999996
AFR,aluminum,2070,reuse,0
AFR,aluminum,2070,recycling,0.8250000000000001
AFR,aluminum,2070,downcycling,0
AFR,aluminum,2070,others,0.17499999999999996
AFR,aluminum,2075,reuse,0
AFR,aluminum,2075,recycling,0.8250000000000001
AFR,aluminum,2075,downcycling,0
AFR,aluminum,2075,others,0.17499999999999996
AFR,aluminum,2080,reuse,0
AFR,aluminum,2080,recycling,0.8250000000000001
AFR,aluminum,2080,downcycling,0
AFR,aluminum,2080,others,0.17499999999999996
AFR,aluminum,2085,reuse,0
AFR,aluminum,2085,recycling,0.8250000000000001
AFR,aluminum,2085,downcycling,0
AFR,aluminum,2085,others,0.17499999999999996
AFR,aluminum,2090,reuse,0
AFR,aluminum,2090,recycling,0.8250000000000001
AFR,aluminum,2090,downcycling,0
AFR,aluminum,2090,others,0.17499999999999996
AFR,aluminum,2095,reuse,0
AFR,aluminum,2095,recycling,0.8250000000000001
AFR,aluminum,2095,downcycling,0
AFR,aluminum,2095,others,0.17499999999999996
AFR,aluminum,2100,reuse,0
AFR,aluminum,2100,recycling,0.8250000000000001
AFR,aluminum,2100,downcycling,0
AFR,aluminum,2100,others,0.17499999999999996
AFR,concrete,2015,reuse,0.02
AFR,concrete,2015,recycling,0.01
AFR,concrete,2015,downcycling,0.65
AFR,concrete,2015,others,0.31999999999999995
AFR,concrete,2020,reuse,0.02
AFR,concrete,2020,recycling,0.01
AFR,concrete,2020,downcycling,0.65
AFR,concrete,2020,others,0.31999999999999995
AFR,concrete,2025,reuse,0.02
AFR,concrete,2025,recycling,0.01
AFR,concrete,2025,downcycling,0.65
AFR,concrete,2025,others,0.31999999999999995
AFR,concrete,2030,reuse,0.023571428571428573
AFR,concrete,2030,recycling,0.017142857142857144
AFR,concrete,2030,downcycling,0.65
AFR,concrete,2030,others,0.3092857142857142
AFR,concrete,2035,reuse,0.027142857142857142
AFR,concrete,2035,recycling,0.024285714285714285
AFR,concrete,2035,downcycling,0.65
AFR,concrete,2035,others,0.29857142857142854
AFR,concrete,2040,reuse,0.030714285714285715
AFR,concrete,2040,recycling,0.03142857142857143
AFR,concrete,2040,downcycling,0.65
AFR,concrete,2040,others,0.2878571428571428
AFR,concrete,2045,reuse,0.03428571428571429
AFR,concrete,2045,recycling,0.03857142857142857
AFR,concrete,2045,downcycling,0.65
AFR,concrete,2045,others,0.2771428571428571
AFR,concrete,2050,reuse,0.03785714285714286
AFR,concrete,2050,recycling,0.04571428571428572
AFR,concrete,2050,downcycling,0.65
AFR,concrete,2050,others,0.26642857142857135
AFR,concrete,2055,reuse,0.041428571428571426
