eneff,year,value
sr11_std,2020,0.1
sr11_std,2025,0.1
sr11_std,2030,0.1
sr11_std,2035,0.1
sr11_std,2040,0.1
sr11_std,2045,0.1
sr11_std,2050,0.1
sr11_std,2055,0.1
sr11_std,2060,0.1
sr11_std,2065,0.1
sr11_std,2070,0.1
sr11_std,2075,0.1
sr11_std,2080,0.1
sr11_std,2085,0.1
sr11_std,2090,0.1
sr11_std,2095,0.1
sr11_std,2100,0.1
sr12_low,2020,0.2
sr12_low,2025,0.2
sr12_low,2030,0.2
sr12_low,2035,0.2
sr12_low,2040,0.2
sr12_low,2045,0.2
sr12_low,2050,0.2
sr12_low,2055,0.2
sr12_low,2060,0.2
sr12_low,2065,0.2
sr12_low,2070,0.2
sr12_low,2075,0.2
sr12_low,2080,0.2
sr12_low,2085,0.2
sr12_low,2090,0.2
sr12_low,2095,0.2
sr12_low,2100,0.2
sr21_std,2020,0.1
sr21_std,2025,0.1
sr21_std,2030,0.1
sr21_std,2035,0.1
sr21_std,2040,0.1
sr21_std,2045,0.1
sr21_std,2050,0.1
sr21_std,2055,0.1
sr21_std,2060,0.1
sr21_std,2065,0.1
sr21_std,2070,0.1
sr21_std,2075,0.1
sr21_std,2080,0.1
sr21_std,2085,0.1
sr21_std,2090,0.1
sr21_std,2095,0.1
sr21_std,2100,0.1
sr22_low,2020,0.2
sr22_low,2025,0.2
sr22_low,2030,0.2
sr22_low,2035,0.2
sr22_low,2040,0.2
sr22_low,2045,0.2
sr22_low,2050,0.2
sr22_low,2055,0.2
sr22_low,2060,0.2
sr22_low,2065,0.2
sr22_low,2070,0.2
sr22_low,2075,0.2
sr22_low,2080,0.2
sr22_low,2085,0.2
sr22_low,2090,0.2
sr22_low,2095,0.2
sr22_low,2100,0.2
sr31_std,2020,0.1
sr31_std,2025,0.1
sr31_std,2030,0.1
sr31_std,2035,0.1
sr31_std,2040,0.1
sr31_std,2045,0.1
sr31_std,2050,0.1
sr31_std,2055,0.1
sr31_std,2060,0.1
sr31_std,2065,0.1
sr31_std,2070,0.1
sr31_std,2075,0.1
sr31_std,2080,0.1
sr31_std,2085,0.1
sr31_std,2090,0.1
sr31_std,2095,0.1
sr31_std,2100,0.1
sr32_low,2020,0.2
sr32_low,2025,0.2
sr32_low,2030,0.2
sr32_low,2035,0.2
sr32_low,2040,0.2
sr32_low,2045,0.2
sr32_low,2050,0.2
sr32_low,2055,0.2
sr32_low,2060,0.2
sr32_low,2065,0.2
sr32_low,2070,0.2
sr32_low,2075,0.2
sr32_low,2080,0.2
sr32_low,2085,0.2
sr32_low,2090,0.2
sr32_low,2095,0.2
sr32_low,2100,0.2
