region_gea,material,year,eol_treat,value
AFR,aluminum,2015,reuse,0
AFR,aluminum,2015,recycling,0.8
AFR,aluminum,2015,downcycling,0
AFR,aluminum,2015,others,0.2
AFR,aluminum,2020,reuse,0
AFR,aluminum,2020,recycling,0.8
AFR,aluminum,2020,downcycling,0
AFR,aluminum,2020,others,0.2
AFR,aluminum,2025,reuse,0
AFR,aluminum,2025,recycling,0.8
AFR,aluminum,2025,downcycling,0
AFR,aluminum,2025,others,0.2
AFR,aluminum,2030,reuse,0
AFR,aluminum,2030,recycling,0.8
AFR,aluminum,2030,downcycling,0
AFR,aluminum,2030,others,0.2
AFR,aluminum,2035,reuse,0
AFR,aluminum,2035,recycling,0.8
AFR,aluminum,2035,downcycling,0
AFR,aluminum,2035,others,0.2
AFR,aluminum,2040,reuse,0
AFR,aluminum,2040,recycling,0.8
AFR,aluminum,2040,downcycling,0
AFR,aluminum,2040,others,0.2
AFR,aluminum,2045,reuse,0
AFR,aluminum,2045,recycling,0.8
AFR,aluminum,2045,downcycling,0
AFR,aluminum,2045,others,0.2
AFR,aluminum,2050,reuse,0
AFR,aluminum,2050,recycling,0.8
AFR,aluminum,2050,downcycling,0
AFR,aluminum,2050,others,0.2
AFR,aluminum,2055,reuse,0
AFR,aluminum,2055,recycling,0.8
AFR,aluminum,2055,downcycling,0
AFR,aluminum,2055,others,0.2
AFR,aluminum,2060,reuse,0
AFR,aluminum,2060,recycling,0.8
AFR,aluminum,2060,downcycling,0
AFR,aluminum,2060,others,0.2
AFR,aluminum,2065,reuse,0
AFR,aluminum,2065,recycling,0.8
AFR,aluminum,2065,downcycling,0
AFR,aluminum,2065,others,0.2
AFR,aluminum,2070,reuse,0
AFR,aluminum,2070,recycling,0.8
AFR,aluminum,2070,downcycling,0
AFR,aluminum,2070,others,0.2
AFR,aluminum,2075,reuse,0
AFR,aluminum,2075,recycling,0.8
AFR,aluminum,2075,downcycling,0
AFR,aluminum,2075,others,0.2
AFR,aluminum,2080,reuse,0
AFR,aluminum,2080,recycling,0.8
AFR,aluminum,2080,downcycling,0
AFR,aluminum,2080,others,0.2
AFR,aluminum,2085,reuse,0
AFR,aluminum,2085,recycling,0.8
AFR,aluminum,2085,downcycling,0
AFR,aluminum,2085,others,0.2
AFR,aluminum,2090,reuse,0
AFR,aluminum,2090,recycling,0.8
AFR,aluminum,2090,downcycling,0
AFR,aluminum,2090,others,0.2
AFR,aluminum,2095,reuse,0
AFR,aluminum,2095,recycling,0.8
AFR,aluminum,2095,downcycling,0
AFR,aluminum,2095,others,0.2
AFR,aluminum,2100,reuse,0
AFR,aluminum,2100,recycling,0.8
AFR,aluminum,2100,downcycling,0
AFR,aluminum,2100,others,0.2
AFR,concrete,2015,reuse,0.02
AFR,concrete,2015,recycling,0.01
AFR,concrete,2015,downcycling,0.65
AFR,concrete,2015,others,0.32
AFR,concrete,2020,reuse,0.02
AFR,concrete,2020,recycling,0.01
AFR,concrete,2020,downcycling,0.65
AFR,concrete,2020,others,0.32
AFR,concrete,2025,reuse,0.02
AFR,concrete,2025,recycling,0.01
AFR,concrete,2025,downcycling,0.65
AFR,concrete,2025,others,0.32
AFR,concrete,2030,reuse,0.02
AFR,concrete,2030,recycling,0.01
AFR,concrete,2030,downcycling,0.65
AFR,concrete,2030,others,0.32
AFR,concrete,2035,reuse,0.02
AFR,concrete,2035,recycling,0.01
AFR,concrete,2035,downcycling,0.65
AFR,concrete,2035,others,0.32
AFR,concrete,2040,reuse,0.02
AFR,concrete,2040,recycling,0.01
AFR,concrete,2040,downcycling,0.65
AFR,concrete,2040,others,0.32
AFR,concrete,2045,reuse,0.02
AFR,concrete,2045,recycling,0.01
AFR,concrete,2045,downcycling,0.65
AFR,concrete,2045,others,0.32
AFR,concrete,2050,reuse,0.02
AFR,concrete,2050,recycling,0.01
AFR,concrete,2050,downcycling,0.65
AFR,concrete,2050,others,0.32
AFR,concrete,2055,reuse,0.02
AFR,concrete,2055,recycling,0.01
AFR,concrete,2055,downcycling,0.65
AFR,concrete,2055,others,0.32
AFR,concrete,2060,reuse,0.02
AFR,concrete,2060,recycling,0.01
AFR,concrete,2060,downcycling,0.65
AFR,concrete,2060,others,0.32
AFR,concrete,2065,reuse,0.02
AFR,concrete,2065,recycling,0.01
AFR,concrete,2065,downcycling,0.65
AFR,concrete,2065,others,0.32
AFR,concrete,2070,reuse,0.02
AFR,concrete,2070,recycling,0.01
