eneff,year,value
sr11_std,2020,0.4
sr11_std,2025,0.4
sr11_std,2030,0.4
sr11_std,2035,0.4
sr11_std,2040,0.4
sr11_std,2045,0.4
sr11_std,2050,0.4
sr11_std,2055,0.4
sr11_std,2060,0.4
sr11_std,2065,0.4
sr11_std,2070,0.4
sr11_std,2075,0.4
sr11_std,2080,0.4
sr11_std,2085,0.4
sr11_std,2090,0.4
sr11_std,2095,0.4
sr11_std,2100,0.4
sr12_low,2020,0.6
sr12_low,2025,0.6
sr12_low,2030,0.6
sr12_low,2035,0.6
sr12_low,2040,0.6
sr12_low,2045,0.6
sr12_low,2050,0.6
sr12_low,2055,0.6
sr12_low,2060,0.6
sr12_low,2065,0.6
sr12_low,2070,0.6
sr12_low,2075,0.6
sr12_low,2080,0.6
sr12_low,2085,0.6
sr12_low,2090,0.6
sr12_low,2095,0.6
sr12_low,2100,0.6
sr21_std,2020,0.4
sr21_std,2025,0.4
sr21_std,2030,0.4
sr21_std,2035,0.4
sr21_std,2040,0.4
sr21_std,2045,0.4
sr21_std,2050,0.4
sr21_std,2055,0.4
sr21_std,2060,0.4
sr21_std,2065,0.4
sr21_std,2070,0.4
sr21_std,2075,0.4
sr21_std,2080,0.4
sr21_std,2085,0.4
sr21_std,2090,0.4
sr21_std,2095,0.4
sr21_std,2100,0.4
sr22_low,2020,0.6
sr22_low,2025,0.6
sr22_low,2030,0.6
sr22_low,2035,0.6
sr22_low,2040,0.6
sr22_low,2045,0.6
sr22_low,2050,0.6
sr22_low,2055,0.6
sr22_low,2060,0.6
sr22_low,2065,0.6
sr22_low,2070,0.6
sr22_low,2075,0.6
sr22_low,2080,0.6
sr22_low,2085,0.6
sr22_low,2090,0.6
sr22_low,2095,0.6
sr22_low,2100,0.6
sr31_std,2020,0.4
sr31_std,2025,0.4
sr31_std,2030,0.4
sr31_std,2035,0.4
sr31_std,2040,0.4
sr31_std,2045,0.4
sr31_std,2050,0.4
sr31_std,2055,0.4
sr31_std,2060,0.4
sr31_std,2065,0.4
sr31_std,2070,0.4
sr31_std,2075,0.4
sr31_std,2080,0.4
sr31_std,2085,0.4
sr31_std,2090,0.4
sr31_std,2095,0.4
sr31_std,2100,0.4
sr32_low,2020,0.6
sr32_low,2025,0.6
sr32_low,2030,0.6
sr32_low,2035,0.6
sr32_low,2040,0.6
sr32_low,2045,0.6
sr32_low,2050,0.6
sr32_low,2055,0.6
sr32_low,2060,0.6
sr32_low,2065,0.6
sr32_low,2070,0.6
sr32_low,2075,0.6
sr32_low,2080,0.6
sr32_low,2085,0.6
sr32_low,2090,0.6
sr32_low,2095,0.6
sr32_low,2100,0.6
