eneff,region_gea,ssp,fuel_heat,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
sr32_low,FSU,SSP2,electricity,2.7,2.835294118,2.970588235,3.105882353,3.241176471,3.376470588,3.511764706,3.647058824,3.782352941,3.917647059,4.052941176,4.188235294,4.323529412,4.458823529,4.594117647,4.729411765,4.864705882,5
sr32_low,FSU,SSP2,gas,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
sr32_low,FSU,SSP2,oil,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
ns,LAC,SSP2,biomass_solid,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
ns,LAC,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
ns,LAC,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
ns,LAC,SSP2,electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ns,LAC,SSP2,gas,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
ns,LAC,SSP2,oil,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s1,LAC,SSP2,biomass_solid,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
s1,LAC,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s1,LAC,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
s1,LAC,SSP2,electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s1,LAC,SSP2,gas,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s1,LAC,SSP2,oil,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s2,LAC,SSP2,biomass_solid,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
s2,LAC,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s2,LAC,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
s2,LAC,SSP2,electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s2,LAC,SSP2,gas,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s2,LAC,SSP2,oil,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s3,LAC,SSP2,biomass_solid,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
s3,LAC,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s3,LAC,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
s3,LAC,SSP2,electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s3,LAC,SSP2,gas,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s3,LAC,SSP2,oil,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s51_std,LAC,SSP2,biomass_solid,0.4,0.426470588,0.452941176,0.479411765,0.505882353,0.532352941,0.558823529,0.585294118,0.611764706,0.638235294,0.664705882,0.691176471,0.717647059,0.744117647,0.770588235,0.797058824,0.823529412,0.85
s51_std,LAC,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s51_std,LAC,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
s51_std,LAC,SSP2,electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s51_std,LAC,SSP2,gas,0.75,0.758823529,0.767647059,0.776470588,0.785294118,0.794117647,0.802941176,0.811764706,0.820588235,0.829411765,0.838235294,0.847058824,0.855882353,0.864705882,0.873529412,0.882352941,0.891176471,0.9
s51_std,LAC,SSP2,oil,0.75,0.756470588,0.762941176,0.769411765,0.775882353,0.782352941,0.788823529,0.795294118,0.801764706,0.808235294,0.814705882,0.821176471,0.827647059,0.834117647,0.840588235,0.847058824,0.853529412,0.86
s52_low,LAC,SSP2,biomass_solid,0.7,0.708823529,0.717647059,0.726470588,0.735294118,0.744117647,0.752941176,0.761764706,0.770588235,0.779411765,0.788235294,0.797058824,0.805882353,0.814705882,0.823529412,0.832352941,0.841176471,0.85
s52_low,LAC,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s52_low,LAC,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
s52_low,LAC,SSP2,electricity,2.5,2.647058824,2.794117647,2.941176471,3.088235294,3.235294118,3.382352941,3.529411765,3.676470588,3.823529412,3.970588235,4.117647059,4.264705882,4.411764706,4.558823529,4.705882353,4.852941176,5
s52_low,LAC,SSP2,gas,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
s52_low,LAC,SSP2,oil,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
sr11_std,LAC,SSP2,biomass_solid,0.4,0.426470588,0.452941176,0.479411765,0.505882353,0.532352941,0.558823529,0.585294118,0.611764706,0.638235294,0.664705882,0.691176471,0.717647059,0.744117647,0.770588235,0.797058824,0.823529412,0.85
sr11_std,LAC,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
sr11_std,LAC,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
sr11_std,LAC,SSP2,electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sr11_std,LAC,SSP2,gas,0.75,0.758823529,0.767647059,0.776470588,0.785294118,0.794117647,0.802941176,0.811764706,0.820588235,0.829411765,0.838235294,0.847058824,0.855882353,0.864705882,0.873529412,0.882352941,0.891176471,0.9
sr11_std,LAC,SSP2,oil,0.75,0.756470588,0.762941176,0.769411765,0.775882353,0.782352941,0.788823529,0.795294118,0.801764706,0.808235294,0.814705882,0.821176471,0.827647059,0.834117647,0.840588235,0.847058824,0.853529412,0.86
sr12_low,LAC,SSP2,biomass_solid,0.7,0.708823529,0.717647059,0.726470588,0.735294118,0.744117647,0.752941176,0.761764706,0.770588235,0.779411765,0.788235294,0.797058824,0.805882353,0.814705882,0.823529412,0.832352941,0.841176471,0.85
sr12_low,LAC,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
sr12_low,LAC,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
sr12_low,LAC,SSP2,electricity,2.5,2.647058824,2.794117647,2.941176471,3.088235294,3.235294118,3.382352941,3.529411765,3.676470588,3.823529412,3.970588235,4.117647059,4.264705882,4.411764706,4.558823529,4.705882353,4.852941176,5
sr12_low,LAC,SSP2,gas,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
sr12_low,LAC,SSP2,oil,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
sr21_std,LAC,SSP2,biomass_solid,0.4,0.426470588,0.452941176,0.479411765,0.505882353,0.532352941,0.558823529,0.585294118,0.611764706,0.638235294,0.664705882,0.691176471,0.717647059,0.744117647,0.770588235,0.797058824,0.823529412,0.85
sr21_std,LAC,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
sr21_std,LAC,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
sr21_std,LAC,SSP2,electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sr21_std,LAC,SSP2,gas,0.75,0.758823529,0.767647059,0.776470588,0.785294118,0.794117647,0.802941176,0.811764706,0.820588235,0.829411765,0.838235294,0.847058824,0.855882353,0.864705882,0.873529412,0.882352941,0.891176471,0.9
sr21_std,LAC,SSP2,oil,0.75,0.756470588,0.762941176,0.769411765,0.775882353,0.782352941,0.788823529,0.795294118,0.801764706,0.808235294,0.814705882,0.821176471,0.827647059,0.834117647,0.840588235,0.847058824,0.853529412,0.86
sr22_low,LAC,SSP2,biomass_solid,0.7,0.708823529,0.717647059,0.726470588,0.735294118,0.744117647,0.752941176,0.761764706,0.770588235,0.779411765,0.788235294,0.797058824,0.805882353,0.814705882,0.823529412,0.832352941,0.841176471,0.85
sr22_low,LAC,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
sr22_low,LAC,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
sr22_low,LAC,SSP2,electricity,2.5,2.647058824,2.794117647,2.941176471,3.088235294,3.235294118,3.382352941,3.529411765,3.676470588,3.823529412,3.970588235,4.117647059,4.264705882,4.411764706,4.558823529,4.705882353,4.852941176,5
sr22_low,LAC,SSP2,gas,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
sr22_low,LAC,SSP2,oil,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
sr31_std,LAC,SSP2,biomass_solid,0.4,0.426470588,0.452941176,0.479411765,0.505882353,0.532352941,0.558823529,0.585294118,0.611764706,0.638235294,0.664705882,0.691176471,0.717647059,0.744117647,0.770588235,0.797058824,0.823529412,0.85
sr31_std,LAC,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
sr31_std,LAC,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
sr31_std,LAC,SSP2,electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sr31_std,LAC,SSP2,gas,0.75,0.758823529,0.767647059,0.776470588,0.785294118,0.794117647,0.802941176,0.811764706,0.820588235,0.829411765,0.838235294,0.847058824,0.855882353,0.864705882,0.873529412,0.882352941,0.891176471,0.9
sr31_std,LAC,SSP2,oil,0.75,0.756470588,0.762941176,0.769411765,0.775882353,0.782352941,0.788823529,0.795294118,0.801764706,0.808235294,0.814705882,0.821176471,0.827647059,0.834117647,0.840588235,0.847058824,0.853529412,0.86
sr32_low,LAC,SSP2,biomass_solid,0.7,0.708823529,0.717647059,0.726470588,0.735294118,0.744117647,0.752941176,0.761764706,0.770588235,0.779411765,0.788235294,0.797058824,0.805882353,0.814705882,0.823529412,0.832352941,0.841176471,0.85
sr32_low,LAC,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
sr32_low,LAC,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
sr32_low,LAC,SSP2,electricity,2.5,2.647058824,2.794117647,2.941176471,3.088235294,3.235294118,3.382352941,3.529411765,3.676470588,3.823529412,3.970588235,4.117647059,4.264705882,4.411764706,4.558823529,4.705882353,4.852941176,5
sr32_low,LAC,SSP2,gas,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
sr32_low,LAC,SSP2,oil,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
ns,MEA,SSP2,biomass_solid,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
ns,MEA,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
ns,MEA,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
ns,MEA,SSP2,electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ns,MEA,SSP2,gas,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
ns,MEA,SSP2,oil,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s1,MEA,SSP2,biomass_solid,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
s1,MEA,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s1,MEA,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
s1,MEA,SSP2,electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s1,MEA,SSP2,gas,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s1,MEA,SSP2,oil,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s2,MEA,SSP2,biomass_solid,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
s2,MEA,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s2,MEA,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
s2,MEA,SSP2,electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s2,MEA,SSP2,gas,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s2,MEA,SSP2,oil,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s3,MEA,SSP2,biomass_solid,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
s3,MEA,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s3,MEA,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
s3,MEA,SSP2,electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s3,MEA,SSP2,gas,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s3,MEA,SSP2,oil,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s51_std,MEA,SSP2,biomass_solid,0.4,0.426470588,0.452941176,0.479411765,0.505882353,0.532352941,0.558823529,0.585294118,0.611764706,0.638235294,0.664705882,0.691176471,0.717647059,0.744117647,0.770588235,0.797058824,0.823529412,0.85
s51_std,MEA,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s51_std,MEA,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
s51_std,MEA,SSP2,electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s51_std,MEA,SSP2,gas,0.75,0.758823529,0.767647059,0.776470588,0.785294118,0.794117647,0.802941176,0.811764706,0.820588235,0.829411765,0.838235294,0.847058824,0.855882353,0.864705882,0.873529412,0.882352941,0.891176471,0.9
s51_std,MEA,SSP2,oil,0.75,0.756470588,0.762941176,0.769411765,0.775882353,0.782352941,0.788823529,0.795294118,0.801764706,0.808235294,0.814705882,0.821176471,0.827647059,0.834117647,0.840588235,0.847058824,0.853529412,0.86
s52_low,MEA,SSP2,biomass_solid,0.7,0.708823529,0.717647059,0.726470588,0.735294118,0.744117647,0.752941176,0.761764706,0.770588235,0.779411765,0.788235294,0.797058824,0.805882353,0.814705882,0.823529412,0.832352941,0.841176471,0.85
s52_low,MEA,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
s52_low,MEA,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
s52_low,MEA,SSP2,electricity,2.5,2.647058824,2.794117647,2.941176471,3.088235294,3.235294118,3.382352941,3.529411765,3.676470588,3.823529412,3.970588235,4.117647059,4.264705882,4.411764706,4.558823529,4.705882353,4.852941176,5
s52_low,MEA,SSP2,gas,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
s52_low,MEA,SSP2,oil,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
sr11_std,MEA,SSP2,biomass_solid,0.4,0.426470588,0.452941176,0.479411765,0.505882353,0.532352941,0.558823529,0.585294118,0.611764706,0.638235294,0.664705882,0.691176471,0.717647059,0.744117647,0.770588235,0.797058824,0.823529412,0.85
sr11_std,MEA,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
sr11_std,MEA,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
sr11_std,MEA,SSP2,electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sr11_std,MEA,SSP2,gas,0.75,0.758823529,0.767647059,0.776470588,0.785294118,0.794117647,0.802941176,0.811764706,0.820588235,0.829411765,0.838235294,0.847058824,0.855882353,0.864705882,0.873529412,0.882352941,0.891176471,0.9
sr11_std,MEA,SSP2,oil,0.75,0.756470588,0.762941176,0.769411765,0.775882353,0.782352941,0.788823529,0.795294118,0.801764706,0.808235294,0.814705882,0.821176471,0.827647059,0.834117647,0.840588235,0.847058824,0.853529412,0.86
sr12_low,MEA,SSP2,biomass_solid,0.7,0.708823529,0.717647059,0.726470588,0.735294118,0.744117647,0.752941176,0.761764706,0.770588235,0.779411765,0.788235294,0.797058824,0.805882353,0.814705882,0.823529412,0.832352941,0.841176471,0.85
sr12_low,MEA,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
sr12_low,MEA,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
sr12_low,MEA,SSP2,electricity,2.5,2.647058824,2.794117647,2.941176471,3.088235294,3.235294118,3.382352941,3.529411765,3.676470588,3.823529412,3.970588235,4.117647059,4.264705882,4.411764706,4.558823529,4.705882353,4.852941176,5
sr12_low,MEA,SSP2,gas,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
sr12_low,MEA,SSP2,oil,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
sr21_std,MEA,SSP2,biomass_solid,0.4,0.426470588,0.452941176,0.479411765,0.505882353,0.532352941,0.558823529,0.585294118,0.611764706,0.638235294,0.664705882,0.691176471,0.717647059,0.744117647,0.770588235,0.797058824,0.823529412,0.85
sr21_std,MEA,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
sr21_std,MEA,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
sr21_std,MEA,SSP2,electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sr21_std,MEA,SSP2,gas,0.75,0.758823529,0.767647059,0.776470588,0.785294118,0.794117647,0.802941176,0.811764706,0.820588235,0.829411765,0.838235294,0.847058824,0.855882353,0.864705882,0.873529412,0.882352941,0.891176471,0.9
sr21_std,MEA,SSP2,oil,0.75,0.756470588,0.762941176,0.769411765,0.775882353,0.782352941,0.788823529,0.795294118,0.801764706,0.808235294,0.814705882,0.821176471,0.827647059,0.834117647,0.840588235,0.847058824,0.853529412,0.86
sr22_low,MEA,SSP2,biomass_solid,0.7,0.708823529,0.717647059,0.726470588,0.735294118,0.744117647,0.752941176,0.761764706,0.770588235,0.779411765,0.788235294,0.797058824,0.805882353,0.814705882,0.823529412,0.832352941,0.841176471,0.85
sr22_low,MEA,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
sr22_low,MEA,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
sr22_low,MEA,SSP2,electricity,2.5,2.647058824,2.794117647,2.941176471,3.088235294,3.235294118,3.382352941,3.529411765,3.676470588,3.823529412,3.970588235,4.117647059,4.264705882,4.411764706,4.558823529,4.705882353,4.852941176,5
sr22_low,MEA,SSP2,gas,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
sr22_low,MEA,SSP2,oil,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
sr31_std,MEA,SSP2,biomass_solid,0.4,0.426470588,0.452941176,0.479411765,0.505882353,0.532352941,0.558823529,0.585294118,0.611764706,0.638235294,0.664705882,0.691176471,0.717647059,0.744117647,0.770588235,0.797058824,0.823529412,0.85
sr31_std,MEA,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
sr31_std,MEA,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
sr31_std,MEA,SSP2,electricity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sr31_std,MEA,SSP2,gas,0.75,0.758823529,0.767647059,0.776470588,0.785294118,0.794117647,0.802941176,0.811764706,0.820588235,0.829411765,0.838235294,0.847058824,0.855882353,0.864705882,0.873529412,0.882352941,0.891176471,0.9
sr31_std,MEA,SSP2,oil,0.75,0.756470588,0.762941176,0.769411765,0.775882353,0.782352941,0.788823529,0.795294118,0.801764706,0.808235294,0.814705882,0.821176471,0.827647059,0.834117647,0.840588235,0.847058824,0.853529412,0.86
sr32_low,MEA,SSP2,biomass_solid,0.7,0.708823529,0.717647059,0.726470588,0.735294118,0.744117647,0.752941176,0.761764706,0.770588235,0.779411765,0.788235294,0.797058824,0.805882353,0.814705882,0.823529412,0.832352941,0.841176471,0.85
sr32_low,MEA,SSP2,coal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
sr32_low,MEA,SSP2,district_heat,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
sr32_low,MEA,SSP2,electricity,2.5,2.647058824,2.794117647,2.941176471,3.088235294,3.235294118,3.382352941,3.529411765,3.676470588,3.823529412,3.970588235,4.117647059,4.264705882,4.411764706,4.558823529,4.705882353,4.852941176,5
sr32_low,MEA,SSP2,gas,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
