clim,ssp,region_gea,year,heat_hours
Zone_1A Very hot Humid,SSP3,AFR,2085,0
Zone_1A Very hot Humid,SSP3,AFR,2090,0
Zone_1A Very hot Humid,SSP3,AFR,2095,0
Zone_1A Very hot Humid,SSP3,AFR,2100,0
Zone_1B Very hot Dry,SSP3,AFR,2015,0
Zone_1B Very hot Dry,SSP3,AFR,2020,0
Zone_1B Very hot Dry,SSP3,AFR,2025,0
Zone_1B Very hot Dry,SSP3,AFR,2030,0
Zone_1B Very hot Dry,SSP3,AFR,2035,0
Zone_1B Very hot Dry,SSP3,AFR,2040,0
Zone_1B Very hot Dry,SSP3,AFR,2045,0
Zone_1B Very hot Dry,SSP3,AFR,2050,0
Zone_1B Very hot Dry,SSP3,AFR,2055,0
Zone_1B Very hot Dry,SSP3,AFR,2060,0
Zone_1B Very hot Dry,SSP3,AFR,2065,0
Zone_1B Very hot Dry,SSP3,AFR,2070,0
Zone_1B Very hot Dry,SSP3,AFR,2075,0
Zone_1B Very hot Dry,SSP3,AFR,2080,0
Zone_1B Very hot Dry,SSP3,AFR,2085,0
Zone_1B Very hot Dry,SSP3,AFR,2090,0
Zone_1B Very hot Dry,SSP3,AFR,2095,0
Zone_1B Very hot Dry,SSP3,AFR,2100,0
Zone_1C Very hot Marine,SSP3,AFR,2015,0
Zone_1C Very hot Marine,SSP3,AFR,2020,0
Zone_1C Very hot Marine,SSP3,AFR,2025,0
Zone_1C Very hot Marine,SSP3,AFR,2030,0
Zone_1C Very hot Marine,SSP3,AFR,2035,0
Zone_1C Very hot Marine,SSP3,AFR,2040,0
Zone_1C Very hot Marine,SSP3,AFR,2045,0
Zone_1C Very hot Marine,SSP3,AFR,2050,0
Zone_1C Very hot Marine,SSP3,AFR,2055,0
Zone_1C Very hot Marine,SSP3,AFR,2060,0
Zone_1C Very hot Marine,SSP3,AFR,2065,0
Zone_1C Very hot Marine,SSP3,AFR,2070,0
Zone_1C Very hot Marine,SSP3,AFR,2075,0
Zone_1C Very hot Marine,SSP3,AFR,2080,0
Zone_1C Very hot Marine,SSP3,AFR,2085,0
Zone_1C Very hot Marine,SSP3,AFR,2090,0
Zone_1C Very hot Marine,SSP3,AFR,2095,0
Zone_1C Very hot Marine,SSP3,AFR,2100,0
Zone_2A Hot Humid,SSP3,AFR,2015,1
Zone_2A Hot Humid,SSP3,AFR,2020,1.011764706
Zone_2A Hot Humid,SSP3,AFR,2025,1.023529412
Zone_2A Hot Humid,SSP3,AFR,2030,1.035294118
Zone_2A Hot Humid,SSP3,AFR,2035,1.047058824
Zone_2A Hot Humid,SSP3,AFR,2040,1.058823529
Zone_2A Hot Humid,SSP3,AFR,2045,1.070588235
Zone_2A Hot Humid,SSP3,AFR,2050,1.082352941
Zone_2A Hot Humid,SSP3,AFR,2055,1.094117647
Zone_2A Hot Humid,SSP3,AFR,2060,1.105882353
Zone_2A Hot Humid,SSP3,AFR,2065,1.117647059
Zone_2A Hot Humid,SSP3,AFR,2070,1.129411765
Zone_2A Hot Humid,SSP3,AFR,2075,1.141176471
Zone_2A Hot Humid,SSP3,AFR,2080,1.152941176
Zone_2A Hot Humid,SSP3,AFR,2085,1.164705882
Zone_2A Hot Humid,SSP3,AFR,2090,1.176470588
Zone_2A Hot Humid,SSP3,AFR,2095,1.188235294
Zone_2A Hot Humid,SSP3,AFR,2100,1.2
Zone_2B Hot Dry,SSP3,AFR,2015,1
Zone_2B Hot Dry,SSP3,AFR,2020,1.011764706
Zone_2B Hot Dry,SSP3,AFR,2025,1.023529412
Zone_2B Hot Dry,SSP3,AFR,2030,1.035294118
Zone_2B Hot Dry,SSP3,AFR,2035,1.047058824
Zone_2B Hot Dry,SSP3,AFR,2040,1.058823529
Zone_2B Hot Dry,SSP3,AFR,2045,1.070588235
Zone_2B Hot Dry,SSP3,AFR,2050,1.082352941
Zone_2B Hot Dry,SSP3,AFR,2055,1.094117647
Zone_2B Hot Dry,SSP3,AFR,2060,1.105882353
Zone_2B Hot Dry,SSP3,AFR,2065,1.117647059
Zone_2B Hot Dry,SSP3,AFR,2070,1.129411765
Zone_2B Hot Dry,SSP3,AFR,2075,1.141176471
Zone_2B Hot Dry,SSP3,AFR,2080,1.152941176
Zone_2B Hot Dry,SSP3,AFR,2085,1.164705882
Zone_2B Hot Dry,SSP3,AFR,2090,1.176470588
Zone_2B Hot Dry,SSP3,AFR,2095,1.188235294
Zone_2B Hot Dry,SSP3,AFR,2100,1.2
Zone_2C Hot Marine,SSP3,AFR,2015,1
Zone_2C Hot Marine,SSP3,AFR,2020,1.011764706
Zone_2C Hot Marine,SSP3,AFR,2025,1.023529412
Zone_2C Hot Marine,SSP3,AFR,2030,1.035294118
Zone_2C Hot Marine,SSP3,AFR,2035,1.047058824
Zone_2C Hot Marine,SSP3,AFR,2040,1.058823529
Zone_2C Hot Marine,SSP3,AFR,2045,1.070588235
Zone_2C Hot Marine,SSP3,AFR,2050,1.082352941
Zone_2C Hot Marine,SSP3,AFR,2055,1.094117647
Zone_2C Hot Marine,SSP3,AFR,2060,1.105882353
Zone_2C Hot Marine,SSP3,AFR,2065,1.117647059
Zone_2C Hot Marine,SSP3,AFR,2070,1.129411765
Zone_2C Hot Marine,SSP3,AFR,2075,1.141176471
Zone_2C Hot Marine,SSP3,AFR,2080,1.152941176
Zone_2C Hot Marine,SSP3,AFR,2085,1.164705882
Zone_2C Hot Marine,SSP3,AFR,2090,1.176470588
Zone_2C Hot Marine,SSP3,AFR,2095,1.188235294
Zone_2C Hot Marine,SSP3,AFR,2100,1.2
Zone_3A Warm Humid,SSP3,AFR,2015,2
Zone_3A Warm Humid,SSP3,AFR,2020,2.023529412
Zone_3A Warm Humid,SSP3,AFR,2025,2.047058824
Zone_3A Warm Humid,SSP3,AFR,2030,2.070588235
Zone_3A Warm Humid,SSP3,AFR,2035,2.094117647
Zone_3A Warm Humid,SSP3,AFR,2040,2.117647059
Zone_3A Warm Humid,SSP3,AFR,2045,2.141176471
Zone_3A Warm Humid,SSP3,AFR,2050,2.164705882
Zone_3A Warm Humid,SSP3,AFR,2055,2.188235294
Zone_3A Warm Humid,SSP3,AFR,2060,2.211764706
Zone_3A Warm Humid,SSP3,AFR,2065,2.235294118
Zone_3A Warm Humid,SSP3,AFR,2070,2.258823529
Zone_3A Warm Humid,SSP3,AFR,2075,2.282352941
Zone_3A Warm Humid,SSP3,AFR,2080,2.305882353
Zone_3A Warm Humid,SSP3,AFR,2085,2.329411765
Zone_3A Warm Humid,SSP3,AFR,2090,2.352941176
Zone_3A Warm Humid,SSP3,AFR,2095,2.376470588
Zone_3A Warm Humid,SSP3,AFR,2100,2.4
Zone_3B Warm Dry,SSP3,AFR,2015,2
Zone_3B Warm Dry,SSP3,AFR,2020,2.023529412
Zone_3B Warm Dry,SSP3,AFR,2025,2.047058824
Zone_3B Warm Dry,SSP3,AFR,2030,2.070588235
Zone_3B Warm Dry,SSP3,AFR,2035,2.094117647
Zone_3B Warm Dry,SSP3,AFR,2040,2.117647059
Zone_3B Warm Dry,SSP3,AFR,2045,2.141176471
Zone_3B Warm Dry,SSP3,AFR,2050,2.164705882
Zone_3B Warm Dry,SSP3,AFR,2055,2.188235294
Zone_3B Warm Dry,SSP3,AFR,2060,2.211764706
Zone_3B Warm Dry,SSP3,AFR,2065,2.235294118
Zone_3B Warm Dry,SSP3,AFR,2070,2.258823529
Zone_3B Warm Dry,SSP3,AFR,2075,2.282352941
Zone_3B Warm Dry,SSP3,AFR,2080,2.305882353
Zone_3B Warm Dry,SSP3,AFR,2085,2.329411765
Zone_3B Warm Dry,SSP3,AFR,2090,2.352941176
Zone_3B Warm Dry,SSP3,AFR,2095,2.376470588
Zone_3B Warm Dry,SSP3,AFR,2100,2.4
Zone_3C Warm Marine,SSP3,AFR,2015,2
Zone_3C Warm Marine,SSP3,AFR,2020,2.023529412
Zone_3C Warm Marine,SSP3,AFR,2025,2.047058824
Zone_3C Warm Marine,SSP3,AFR,2030,2.070588235
Zone_3C Warm Marine,SSP3,AFR,2035,2.094117647
Zone_3C Warm Marine,SSP3,AFR,2040,2.117647059
Zone_3C Warm Marine,SSP3,AFR,2045,2.141176471
Zone_3C Warm Marine,SSP3,AFR,2050,2.164705882
Zone_3C Warm Marine,SSP3,AFR,2055,2.188235294
Zone_3C Warm Marine,SSP3,AFR,2060,2.211764706
Zone_3C Warm Marine,SSP3,AFR,2065,2.235294118
Zone_3C Warm Marine,SSP3,AFR,2070,2.258823529
Zone_3C Warm Marine,SSP3,AFR,2075,2.282352941
Zone_3C Warm Marine,SSP3,AFR,2080,2.305882353
Zone_3C Warm Marine,SSP3,AFR,2085,2.329411765
Zone_3C Warm Marine,SSP3,AFR,2090,2.352941176
Zone_3C Warm Marine,SSP3,AFR,2095,2.376470588
Zone_3C Warm Marine,SSP3,AFR,2100,2.4
Zone_4A Mixed Humid,SSP3,AFR,2015,3
Zone_4A Mixed Humid,SSP3,AFR,2020,3.035294118
Zone_4A Mixed Humid,SSP3,AFR,2025,3.070588235
Zone_4A Mixed Humid,SSP3,AFR,2030,3.105882353
Zone_4A Mixed Humid,SSP3,AFR,2035,3.141176471
Zone_4A Mixed Humid,SSP3,AFR,2040,3.176470588
Zone_4A Mixed Humid,SSP3,AFR,2045,3.211764706
Zone_4A Mixed Humid,SSP3,AFR,2050,3.247058824
Zone_4A Mixed Humid,SSP3,AFR,2055,3.282352941
Zone_4A Mixed Humid,SSP3,AFR,2060,3.317647059
Zone_4A Mixed Humid,SSP3,AFR,2065,3.352941176
Zone_4A Mixed Humid,SSP3,AFR,2070,3.388235294
Zone_4A Mixed Humid,SSP3,AFR,2075,3.423529412
Zone_4A Mixed Humid,SSP3,AFR,2080,3.458823529
Zone_4A Mixed Humid,SSP3,AFR,2085,3.494117647
Zone_4A Mixed Humid,SSP3,AFR,2090,3.529411765
Zone_4A Mixed Humid,SSP3,AFR,2095,3.564705882
Zone_4A Mixed Humid,SSP3,AFR,2100,3.6
Zone_4B Mixed Dry,SSP3,AFR,2015,3
Zone_4B Mixed Dry,SSP3,AFR,2020,3.035294118
Zone_4B Mixed Dry,SSP3,AFR,2025,3.070588235
Zone_4B Mixed Dry,SSP3,AFR,2030,3.105882353
Zone_4B Mixed Dry,SSP3,AFR,2035,3.141176471
Zone_4B Mixed Dry,SSP3,AFR,2040,3.176470588
Zone_4B Mixed Dry,SSP3,AFR,2045,3.211764706
Zone_4B Mixed Dry,SSP3,AFR,2050,3.247058824
Zone_4B Mixed Dry,SSP3,AFR,2055,3.282352941
Zone_4B Mixed Dry,SSP3,AFR,2060,3.317647059
Zone_4B Mixed Dry,SSP3,AFR,2065,3.352941176
Zone_4B Mixed Dry,SSP3,AFR,2070,3.388235294
Zone_4B Mixed Dry,SSP3,AFR,2075,3.423529412
Zone_4B Mixed Dry,SSP3,AFR,2080,3.458823529
Zone_4B Mixed Dry,SSP3,AFR,2085,3.494117647
Zone_4B Mixed Dry,SSP3,AFR,2090,3.529411765
Zone_4B Mixed Dry,SSP3,AFR,2095,3.564705882
Zone_4B Mixed Dry,SSP3,AFR,2100,3.6
Zone_4C Mixed Marine,SSP3,AFR,2015,3
Zone_4C Mixed Marine,SSP3,AFR,2020,3.035294118
Zone_4C Mixed Marine,SSP3,AFR,2025,3.070588235
Zone_4C Mixed Marine,SSP3,AFR,2030,3.105882353
Zone_4C Mixed Marine,SSP3,AFR,2035,3.141176471
Zone_4C Mixed Marine,SSP3,AFR,2040,3.176470588
Zone_4C Mixed Marine,SSP3,AFR,2045,3.211764706
Zone_4C Mixed Marine,SSP3,AFR,2050,3.247058824
Zone_4C Mixed Marine,SSP3,AFR,2055,3.282352941
Zone_4C Mixed Marine,SSP3,AFR,2060,3.317647059
Zone_4C Mixed Marine,SSP3,AFR,2065,3.352941176
Zone_4C Mixed Marine,SSP3,AFR,2070,3.388235294
Zone_4C Mixed Marine,SSP3,AFR,2075,3.423529412
Zone_4C Mixed Marine,SSP3,AFR,2080,3.458823529
Zone_4C Mixed Marine,SSP3,AFR,2085,3.494117647
Zone_4C Mixed Marine,SSP3,AFR,2090,3.529411765
Zone_4C Mixed Marine,SSP3,AFR,2095,3.564705882
Zone_4C Mixed Marine,SSP3,AFR,2100,3.6
Zone_5A Cool Humid,SSP3,AFR,2015,3
Zone_5A Cool Humid,SSP3,AFR,2020,3.035294118
Zone_5A Cool Humid,SSP3,AFR,2025,3.070588235
Zone_5A Cool Humid,SSP3,AFR,2030,3.105882353
Zone_5A Cool Humid,SSP3,AFR,2035,3.141176471
Zone_5A Cool Humid,SSP3,AFR,2040,3.176470588
Zone_5A Cool Humid,SSP3,AFR,2045,3.211764706
Zone_5A Cool Humid,SSP3,AFR,2050,3.247058824
Zone_5A Cool Humid,SSP3,AFR,2055,3.282352941
Zone_5A Cool Humid,SSP3,AFR,2060,3.317647059
Zone_5A Cool Humid,SSP3,AFR,2065,3.352941176
Zone_5A Cool Humid,SSP3,AFR,2070,3.388235294
Zone_5A Cool Humid,SSP3,AFR,2075,3.423529412
Zone_5A Cool Humid,SSP3,AFR,2080,3.458823529
Zone_5A Cool Humid,SSP3,AFR,2085,3.494117647
Zone_5A Cool Humid,SSP3,AFR,2090,3.529411765
Zone_5A Cool Humid,SSP3,AFR,2095,3.564705882
Zone_5A Cool Humid,SSP3,AFR,2100,3.6
Zone_5B Cool Dry,SSP3,AFR,2015,3
Zone_5B Cool Dry,SSP3,AFR,2020,3.035294118
Zone_5B Cool Dry,SSP3,AFR,2025,3.070588235
Zone_5B Cool Dry,SSP3,AFR,2030,3.105882353
Zone_5B Cool Dry,SSP3,AFR,2035,3.141176471
Zone_5B Cool Dry,SSP3,AFR,2040,3.176470588
Zone_5B Cool Dry,SSP3,AFR,2045,3.211764706
Zone_5B Cool Dry,SSP3,AFR,2050,3.247058824
Zone_5B Cool Dry,SSP3,AFR,2055,3.282352941
Zone_5B Cool Dry,SSP3,AFR,2060,3.317647059
Zone_5B Cool Dry,SSP3,AFR,2065,3.352941176
Zone_5B Cool Dry,SSP3,AFR,2070,3.388235294
Zone_5B Cool Dry,SSP3,AFR,2075,3.423529412
Zone_5B Cool Dry,SSP3,AFR,2080,3.458823529
Zone_5B Cool Dry,SSP3,AFR,2085,3.494117647
Zone_5B Cool Dry,SSP3,AFR,2090,3.529411765
Zone_5B Cool Dry,SSP3,AFR,2095,3.564705882
Zone_5B Cool Dry,SSP3,AFR,2100,3.6
Zone_5C Cool Marine,SSP3,AFR,2015,3
Zone_5C Cool Marine,SSP3,AFR,2020,3.035294118
Zone_5C Cool Marine,SSP3,AFR,2025,3.070588235
Zone_5C Cool Marine,SSP3,AFR,2030,3.105882353
Zone_5C Cool Marine,SSP3,AFR,2035,3.141176471
Zone_5C Cool Marine,SSP3,AFR,2040,3.176470588
Zone_5C Cool Marine,SSP3,AFR,2045,3.211764706
Zone_5C Cool Marine,SSP3,AFR,2050,3.247058824
Zone_5C Cool Marine,SSP3,AFR,2055,3.282352941
Zone_5C Cool Marine,SSP3,AFR,2060,3.317647059
Zone_5C Cool Marine,SSP3,AFR,2065,3.352941176
Zone_5C Cool Marine,SSP3,AFR,2070,3.388235294
Zone_5C Cool Marine,SSP3,AFR,2075,3.423529412
Zone_5C Cool Marine,SSP3,AFR,2080,3.458823529
Zone_5C Cool Marine,SSP3,AFR,2085,3.494117647
Zone_5C Cool Marine,SSP3,AFR,2090,3.529411765
Zone_5C Cool Marine,SSP3,AFR,2095,3.564705882
Zone_5C Cool Marine,SSP3,AFR,2100,3.6
Zone_6A Cold Humid,SSP3,AFR,2015,3
Zone_6A Cold Humid,SSP3,AFR,2020,3.035294118
Zone_6A Cold Humid,SSP3,AFR,2025,3.070588235
Zone_6A Cold Humid,SSP3,AFR,2030,3.105882353
Zone_6A Cold Humid,SSP3,AFR,2035,3.141176471
Zone_6A Cold Humid,SSP3,AFR,2040,3.176470588
Zone_6A Cold Humid,SSP3,AFR,2045,3.211764706
Zone_6A Cold Humid,SSP3,AFR,2050,3.247058824
Zone_6A Cold Humid,SSP3,AFR,2055,3.282352941
Zone_6A Cold Humid,SSP3,AFR,2060,3.317647059
Zone_6A Cold Humid,SSP3,AFR,2065,3.352941176
Zone_6A Cold Humid,SSP3,AFR,2070,3.388235294
Zone_6A Cold Humid,SSP3,AFR,2075,3.423529412
Zone_6A Cold Humid,SSP3,AFR,2080,3.458823529
Zone_6A Cold Humid,SSP3,AFR,2085,3.494117647
Zone_6A Cold Humid,SSP3,AFR,2090,3.529411765
Zone_6A Cold Humid,SSP3,AFR,2095,3.564705882
Zone_6A Cold Humid,SSP3,AFR,2100,3.6
Zone_6B Cold Dry,SSP3,AFR,2015,3
Zone_6B Cold Dry,SSP3,AFR,2020,3.035294118
Zone_6B Cold Dry,SSP3,AFR,2025,3.070588235
Zone_6B Cold Dry,SSP3,AFR,2030,3.105882353
Zone_6B Cold Dry,SSP3,AFR,2035,3.141176471
Zone_6B Cold Dry,SSP3,AFR,2040,3.176470588
Zone_6B Cold Dry,SSP3,AFR,2045,3.211764706
Zone_6B Cold Dry,SSP3,AFR,2050,3.247058824
Zone_6B Cold Dry,SSP3,AFR,2055,3.282352941
Zone_6B Cold Dry,SSP3,AFR,2060,3.317647059
Zone_6B Cold Dry,SSP3,AFR,2065,3.352941176
Zone_6B Cold Dry,SSP3,AFR,2070,3.388235294
Zone_6B Cold Dry,SSP3,AFR,2075,3.423529412
Zone_6B Cold Dry,SSP3,AFR,2080,3.458823529
Zone_6B Cold Dry,SSP3,AFR,2085,3.494117647
Zone_6B Cold Dry,SSP3,AFR,2090,3.529411765
Zone_6B Cold Dry,SSP3,AFR,2095,3.564705882
Zone_6B Cold Dry,SSP3,AFR,2100,3.6
Zone_6C Cold Marine,SSP3,AFR,2015,3
Zone_6C Cold Marine,SSP3,AFR,2020,3.035294118
Zone_6C Cold Marine,SSP3,AFR,2025,3.070588235
Zone_6C Cold Marine,SSP3,AFR,2030,3.105882353
Zone_6C Cold Marine,SSP3,AFR,2035,3.141176471
Zone_6C Cold Marine,SSP3,AFR,2040,3.176470588
Zone_6C Cold Marine,SSP3,AFR,2045,3.211764706
Zone_6C Cold Marine,SSP3,AFR,2050,3.247058824
Zone_6C Cold Marine,SSP3,AFR,2055,3.282352941
Zone_6C Cold Marine,SSP3,AFR,2060,3.317647059
Zone_6C Cold Marine,SSP3,AFR,2065,3.352941176
Zone_6C Cold Marine,SSP3,AFR,2070,3.388235294
Zone_6C Cold Marine,SSP3,AFR,2075,3.423529412
Zone_6C Cold Marine,SSP3,AFR,2080,3.458823529
Zone_6C Cold Marine,SSP3,AFR,2085,3.494117647
Zone_6C Cold Marine,SSP3,AFR,2090,3.529411765
Zone_6C Cold Marine,SSP3,AFR,2095,3.564705882
Zone_6C Cold Marine,SSP3,AFR,2100,3.6
Zone_7A Very cold Humid,SSP3,AFR,2015,6
Zone_7A Very cold Humid,SSP3,AFR,2020,6.070588235
Zone_7A Very cold Humid,SSP3,AFR,2025,6.141176471
Zone_7A Very cold Humid,SSP3,AFR,2030,6.211764706
Zone_7A Very cold Humid,SSP3,AFR,2035,6.282352941
Zone_7A Very cold Humid,SSP3,AFR,2040,6.352941176
Zone_7A Very cold Humid,SSP3,AFR,2045,6.423529412
Zone_7A Very cold Humid,SSP3,AFR,2050,6.494117647
Zone_7A Very cold Humid,SSP3,AFR,2055,6.564705882
Zone_7A Very cold Humid,SSP3,AFR,2060,6.635294118
Zone_7A Very cold Humid,SSP3,AFR,2065,6.705882353
Zone_7A Very cold Humid,SSP3,AFR,2070,6.776470588
Zone_7A Very cold Humid,SSP3,AFR,2075,6.847058824
Zone_7A Very cold Humid,SSP3,AFR,2080,6.917647059
Zone_7A Very cold Humid,SSP3,AFR,2085,6.988235294
Zone_7A Very cold Humid,SSP3,AFR,2090,7.058823529
Zone_7A Very cold Humid,SSP3,AFR,2095,7.129411765
Zone_7A Very cold Humid,SSP3,AFR,2100,7.2
Zone_7B Very cold Dry,SSP3,AFR,2015,6
Zone_7B Very cold Dry,SSP3,AFR,2020,6.070588235
Zone_7B Very cold Dry,SSP3,AFR,2025,6.141176471
Zone_7B Very cold Dry,SSP3,AFR,2030,6.211764706
Zone_7B Very cold Dry,SSP3,AFR,2035,6.282352941
Zone_7B Very cold Dry,SSP3,AFR,2040,6.352941176
Zone_7B Very cold Dry,SSP3,AFR,2045,6.423529412
Zone_7B Very cold Dry,SSP3,AFR,2050,6.494117647
Zone_7B Very cold Dry,SSP3,AFR,2055,6.564705882
Zone_7B Very cold Dry,SSP3,AFR,2060,6.635294118
Zone_7B Very cold Dry,SSP3,AFR,2065,6.705882353
Zone_7B Very cold Dry,SSP3,AFR,2070,6.776470588
Zone_7B Very cold Dry,SSP3,AFR,2075,6.847058824
Zone_7B Very cold Dry,SSP3,AFR,2080,6.917647059
Zone_7B Very cold Dry,SSP3,AFR,2085,6.988235294
Zone_7B Very cold Dry,SSP3,AFR,2090,7.058823529
Zone_7B Very cold Dry,SSP3,AFR,2095,7.129411765
Zone_7B Very cold Dry,SSP3,AFR,2100,7.2
Zone_7C Very cold Marine,SSP3,AFR,2015,6
Zone_7C Very cold Marine,SSP3,AFR,2020,6.070588235
Zone_7C Very cold Marine,SSP3,AFR,2025,6.141176471
Zone_7C Very cold Marine,SSP3,AFR,2030,6.211764706
Zone_7C Very cold Marine,SSP3,AFR,2035,6.282352941
Zone_7C Very cold Marine,SSP3,AFR,2040,6.352941176
Zone_7C Very cold Marine,SSP3,AFR,2045,6.423529412
Zone_7C Very cold Marine,SSP3,AFR,2050,6.494117647
Zone_7C Very cold Marine,SSP3,AFR,2055,6.564705882
Zone_7C Very cold Marine,SSP3,AFR,2060,6.635294118
Zone_7C Very cold Marine,SSP3,AFR,2065,6.705882353
Zone_7C Very cold Marine,SSP3,AFR,2070,6.776470588
Zone_7C Very cold Marine,SSP3,AFR,2075,6.847058824
Zone_7C Very cold Marine,SSP3,AFR,2080,6.917647059
Zone_7C Very cold Marine,SSP3,AFR,2085,6.988235294
Zone_7C Very cold Marine,SSP3,AFR,2090,7.058823529
Zone_7C Very cold Marine,SSP3,AFR,2095,7.129411765
Zone_7C Very cold Marine,SSP3,AFR,2100,7.2
Zone_8A Subarctic/arctic Humid,SSP3,AFR,2015,6
Zone_8A Subarctic/arctic Humid,SSP3,AFR,2020,6.070588235
Zone_8A Subarctic/arctic Humid,SSP3,AFR,2025,6.141176471
Zone_8A Subarctic/arctic Humid,SSP3,AFR,2030,6.211764706
Zone_8A Subarctic/arctic Humid,SSP3,AFR,2035,6.282352941
Zone_8A Subarctic/arctic Humid,SSP3,AFR,2040,6.352941176
Zone_8A Subarctic/arctic Humid,SSP3,AFR,2045,6.423529412
Zone_8A Subarctic/arctic Humid,SSP3,AFR,2050,6.494117647
Zone_8A Subarctic/arctic Humid,SSP3,AFR,2055,6.564705882
Zone_8A Subarctic/arctic Humid,SSP3,AFR,2060,6.635294118
Zone_8A Subarctic/arctic Humid,SSP3,AFR,2065,6.705882353
Zone_8A Subarctic/arctic Humid,SSP3,AFR,2070,6.776470588
Zone_8A Subarctic/arctic Humid,SSP3,AFR,2075,6.847058824
Zone_8A Subarctic/arctic Humid,SSP3,AFR,2080,6.917647059
Zone_8A Subarctic/arctic Humid,SSP3,AFR,2085,6.988235294
Zone_8A Subarctic/arctic Humid,SSP3,AFR,2090,7.058823529
Zone_8A Subarctic/arctic Humid,SSP3,AFR,2095,7.129411765
Zone_8A Subarctic/arctic Humid,SSP3,AFR,2100,7.2
Zone_8B Subarctic/arctic Dry,SSP3,AFR,2015,6
Zone_8B Subarctic/arctic Dry,SSP3,AFR,2020,6.070588235
Zone_8B Subarctic/arctic Dry,SSP3,AFR,2025,6.141176471
