REGNUM,ISO,NAME,GLOBAL_SOUTH,REGION_GEA,CDD (Popwtd),GDPpercap2015,AC_penetr,access_elec,slum_pop,
106,LSO,Lesotho,1,AFR,121,2708.148539,0.007057831,0.279232388,0.508,
94,KGZ,Kyrgyzstan,0,FSU,135,3237.602937,0.008611505,0.999065552,,
152,RWA,Rwanda,1,AFR,337,1715.887074,0.011418056,0.228,0.532,
4,ALB,Albania,0,EEU,309,10971.29252,0.081731497,1,,
13,BDI,Burundi,1,AFR,721,748.4152713,0.013895491,0.072520895,0.579,
58,ETH,Ethiopia,1,AFR,704,1533.107632,0.016496607,0.334185905,0.739,
30,CAF,Central African Republic,1,AFR,2308,626.4108725,0.017696637,0.133844233,0.933,
8,ARM,Armenia,0,FSU,160,8195.93365,0.029312546,1,0.144,
2,AFG,Afghanistan,1,SAS,725,1809.016488,0.017816148,0.715,0.627,
10,AUS,Australia,0,PAO,563,43719.50216,0.667499136,1,,
11,AUT,Austria,0,WEU,113,44353.87521,0.231362438,1,,
12,AZE,Azerbaijan,0,FSU,640,16698.86365,0.322075479,1,,
37,COD,Dem. Rep. of the Congo,1,AFR,1921,750.0885772,0.017965046,0.164191647,0.748,
14,BEL,Belgium,0,WEU,86,41722.92186,0.191360952,1,,
101,LBR,Liberia,1,AFR,2624,785.2468867,0.018468046,0.138400917,0.657,
113,MDG,Madagascar,1,AFR,1046,1377.168213,0.018475825,0.190350609,0.772,
125,MWI,Malawi,1,AFR,1456,1088.701805,0.018713486,0.108,0.667,
18,BGR,Bulgaria,0,EEU,217,17000.16725,0.17248546,1,,
129,NER,Niger,1,AFR,3719,904.5797813,0.01910457,0.166,0.701,
122,MOZ,Mozambique,1,AFR,1981,1118.219536,0.019625672,0.24,0.803,
21,BIH,Bosnia and Herzegovina,0,EEU,133,10932.04871,0.045100697,1,,
22,BLR,Belarus,0,FSU,84,17229.55519,0.091236349,1,,
174,TJK,Tajikistan,0,FSU,603,2640.58952,0.01979512,0.999973526,,
158,SLE,Sierra Leone,1,AFR,2926,1315.973533,0.020955048,0.164683762,0.559,
40,COM,Comoros,1,AFR,2018,1413.059277,0.021049141,0.753807144,0.696,
172,TGO,Togo,1,AFR,3244,1349.371568,0.021155963,0.450285454,0.512,
196,ZWE,Zimbabwe,1,AFR,1106,1912.280264,0.021257751,0.337,0.251,
183,UGA,Uganda,1,AFR,1475,1665.949905,0.021444084,0.185,0.536,
68,GNB,Guinea-Bissau,1,AFR,3065,1446.468649,0.021618789,0.140046701,0.823,
67,GMB,Gambia,1,AFR,3115,1568.022914,0.022242681,0.464866638,0.348,
31,CAN,Canada,0,NAM,137,43149.47584,0.264869388,1,,
32,CHE,Switzerland,0,WEU,66,57264.1574,0.161173086,1,,
16,BFA,Burkina Faso,1,AFR,3658,1596.334538,0.022429188,0.184700813,0.658,
79,HTI,Haiti,1,LAC,2361,1651.228445,0.02247832,0.382211266,0.744,
66,GIN,Guinea,1,AFR,2609,1753.063116,0.023113801,1,0.433,
162,SSD,South Sudan,1,MEA,3577,1808.161714,0.0235528,0.079354277,0.956,
176,TLS,East Timor,1,PAS,2459,1920.150472,0.023968314,0.672815339,0.284,
117,MLI,Mali,1,AFR,3702,1919.228421,0.024171765,0.376,0.563,
15,BEN,Benin,1,AFR,3470,1987.167146,0.024541993,0.400334778,0.615,
157,SLB,Solomon Islands,1,PAS,2647,2053.438806,0.024789029,0.551,0.284,
134,NPL,Nepal,1,SAS,1442,2314.274881,0.024809729,0.87213623,0.543,
171,TCD,Chad,1,AFR,3424,2047.637179,0.024884187,0.077,0.882,
93,KEN,Kenya,1,AFR,1016,2835.643662,0.025645389,0.416,0.56,
44,CYP,Cyprus,0,WEU,1107,30549.10097,0.841881769,1,,
45,CZE,Czech Republic,0,EEU,91,30605.42052,0.190910576,1,,
46,DEU,Germany,0,WEU,103,43937.94713,0.216847485,1,,
182,TZA,United Republic of Tanzania,1,AFR,1469,2490.957101,0.025928367,0.185,0.507,
193,YEM,Yemen,1,MEA,1286,2641.045829,0.026130823,0.702139053,0.608,
49,DNK,Denmark,0,WEU,24,45458.69715,0.092526348,1,,
155,SEN,Senegal,1,AFR,3053,2293.853539,0.026298485,0.605,0.394,
