region_gea,fuel_heat_f,year,value
AFR,electricity,2020,8806.4172
AFR,electricity,2025,8586.25677
AFR,electricity,2030,8366.09634
AFR,electricity,2035,8145.93591
AFR,electricity,2040,7925.77548
AFR,electricity,2045,7705.61505
AFR,electricity,2050,7485.45462
AFR,electricity,2055,7485.45462
AFR,electricity,2060,7485.45462
AFR,electricity,2065,7485.45462
AFR,electricity,2070,7485.45462
AFR,electricity,2075,7485.45462
AFR,electricity,2080,7485.45462
AFR,electricity,2085,7485.45462
AFR,electricity,2090,7485.45462
AFR,electricity,2095,7485.45462
AFR,electricity,2100,7485.45462
AFR,gas,2020,6528.31977
AFR,gas,2025,6528.31977
AFR,gas,2030,6528.31977
AFR,gas,2035,6528.31977
AFR,gas,2040,6528.31977
AFR,gas,2045,6528.31977
AFR,gas,2050,6528.31977
AFR,gas,2055,6528.31977
AFR,gas,2060,6528.31977
AFR,gas,2065,6528.31977
AFR,gas,2070,6528.31977
AFR,gas,2075,6528.31977
AFR,gas,2080,6528.31977
AFR,gas,2085,6528.31977
AFR,gas,2090,6528.31977
AFR,gas,2095,6528.31977
AFR,gas,2100,6528.31977
CPA,electricity,2020,8806.4172
CPA,electricity,2025,8586.25677
CPA,electricity,2030,8366.09634
CPA,electricity,2035,8145.93591
CPA,electricity,2040,7925.77548
CPA,electricity,2045,7705.61505
CPA,electricity,2050,7485.45462
CPA,electricity,2055,7485.45462
CPA,electricity,2060,7485.45462
CPA,electricity,2065,7485.45462
CPA,electricity,2070,7485.45462
CPA,electricity,2075,7485.45462
CPA,electricity,2080,7485.45462
CPA,electricity,2085,7485.45462
CPA,electricity,2090,7485.45462
CPA,electricity,2095,7485.45462
CPA,electricity,2100,7485.45462
CPA,gas,2020,6528.31977
CPA,gas,2025,6528.31977
CPA,gas,2030,6528.31977
CPA,gas,2035,6528.31977
CPA,gas,2040,6528.31977
CPA,gas,2045,6528.31977
CPA,gas,2050,6528.31977
CPA,gas,2055,6528.31977
CPA,gas,2060,6528.31977
CPA,gas,2065,6528.31977
CPA,gas,2070,6528.31977
CPA,gas,2075,6528.31977
CPA,gas,2080,6528.31977
CPA,gas,2085,6528.31977
CPA,gas,2090,6528.31977
CPA,gas,2095,6528.31977
CPA,gas,2100,6528.31977
EEU,electricity,2020,8806.4172
EEU,electricity,2025,8586.25677
EEU,electricity,2030,8366.09634
EEU,electricity,2035,8145.93591
EEU,electricity,2040,7925.77548
EEU,electricity,2045,7705.61505
EEU,electricity,2050,7485.45462
EEU,electricity,2055,7485.45462
EEU,electricity,2060,7485.45462
EEU,electricity,2065,7485.45462
EEU,electricity,2070,7485.45462
EEU,electricity,2075,7485.45462
EEU,electricity,2080,7485.45462
EEU,electricity,2085,7485.45462
EEU,electricity,2090,7485.45462
EEU,electricity,2095,7485.45462
EEU,electricity,2100,7485.45462
EEU,gas,2020,6528.31977
EEU,gas,2025,6528.31977
EEU,gas,2030,6528.31977
EEU,gas,2035,6528.31977
EEU,gas,2040,6528.31977
EEU,gas,2045,6528.31977
EEU,gas,2050,6528.31977
EEU,gas,2055,6528.31977
EEU,gas,2060,6528.31977
EEU,gas,2065,6528.31977
EEU,gas,2070,6528.31977
EEU,gas,2075,6528.31977
EEU,gas,2080,6528.31977
EEU,gas,2085,6528.31977
EEU,gas,2090,6528.31977
EEU,gas,2095,6528.31977
EEU,gas,2100,6528.31977
FSU,electricity,2020,8806.4172
FSU,electricity,2025,8586.25677
FSU,electricity,2030,8366.09634
FSU,electricity,2035,8145.93591
FSU,electricity,2040,7925.77548
FSU,electricity,2045,7705.61505
FSU,electricity,2050,7485.45462
FSU,electricity,2055,7485.45462
FSU,electricity,2060,7485.45462
FSU,electricity,2065,7485.45462
FSU,electricity,2070,7485.45462
FSU,electricity,2075,7485.45462
FSU,electricity,2080,7485.45462
FSU,electricity,2085,7485.45462
FSU,electricity,2090,7485.45462
FSU,electricity,2095,7485.45462
FSU,electricity,2100,7485.45462
FSU,gas,2020,6528.31977
FSU,gas,2025,6528.31977
FSU,gas,2030,6528.31977
FSU,gas,2035,6528.31977
FSU,gas,2040,6528.31977
FSU,gas,2045,6528.31977
FSU,gas,2050,6528.31977
FSU,gas,2055,6528.31977
FSU,gas,2060,6528.31977
FSU,gas,2065,6528.31977
FSU,gas,2070,6528.31977
FSU,gas,2075,6528.31977
FSU,gas,2080,6528.31977
FSU,gas,2085,6528.31977
FSU,gas,2090,6528.31977
FSU,gas,2095,6528.31977
FSU,gas,2100,6528.31977
LAC,electricity,2020,8806.4172
LAC,electricity,2025,8586.25677
LAC,electricity,2030,8366.09634
LAC,electricity,2035,8145.93591
LAC,electricity,2040,7925.77548
LAC,electricity,2045,7705.61505
LAC,electricity,2050,7485.45462
LAC,electricity,2055,7485.45462
LAC,electricity,2060,7485.45462
LAC,electricity,2065,7485.45462
LAC,electricity,2070,7485.45462
LAC,electricity,2075,7485.45462
LAC,electricity,2080,7485.45462
LAC,electricity,2085,7485.45462
LAC,electricity,2090,7485.45462
LAC,electricity,2095,7485.45462
LAC,electricity,2100,7485.45462
LAC,gas,2020,6528.31977
LAC,gas,2025,6528.31977
LAC,gas,2030,6528.31977
LAC,gas,2035,6528.31977
LAC,gas,2040,6528.31977
LAC,gas,2045,6528.31977
LAC,gas,2050,6528.31977
LAC,gas,2055,6528.31977
LAC,gas,2060,6528.31977
LAC,gas,2065,6528.31977
LAC,gas,2070,6528.31977
LAC,gas,2075,6528.31977
LAC,gas,2080,6528.31977
LAC,gas,2085,6528.31977
LAC,gas,2090,6528.31977
LAC,gas,2095,6528.31977
LAC,gas,2100,6528.31977
MEA,electricity,2020,8806.4172
MEA,electricity,2025,8586.25677
MEA,electricity,2030,8366.09634
MEA,electricity,2035,8145.93591
MEA,electricity,2040,7925.77548
MEA,electricity,2045,7705.61505
MEA,electricity,2050,7485.45462
MEA,electricity,2055,7485.45462
MEA,electricity,2060,7485.45462
MEA,electricity,2065,7485.45462
MEA,electricity,2070,7485.45462
MEA,electricity,2075,7485.45462
MEA,electricity,2080,7485.45462
MEA,electricity,2085,7485.45462
MEA,electricity,2090,7485.45462
MEA,electricity,2095,7485.45462
MEA,electricity,2100,7485.45462
MEA,gas,2020,6528.31977
MEA,gas,2025,6528.31977
MEA,gas,2030,6528.31977
MEA,gas,2035,6528.31977
MEA,gas,2040,6528.31977
MEA,gas,2045,6528.31977
MEA,gas,2050,6528.31977
MEA,gas,2055,6528.31977
MEA,gas,2060,6528.31977
MEA,gas,2065,6528.31977
MEA,gas,2070,6528.31977
MEA,gas,2075,6528.31977
MEA,gas,2080,6528.31977
MEA,gas,2085,6528.31977
MEA,gas,2090,6528.31977
MEA,gas,2095,6528.31977
MEA,gas,2100,6528.31977
"NAM",electricity,2020,8806.4172
"NAM",electricity,2025,8586.25677
"NAM",electricity,2030,8366.09634
"NAM",electricity,2035,8145.93591
"NAM",electricity,2040,7925.77548
"NAM",electricity,2045,7705.61505
"NAM",electricity,2050,7485.45462
"NAM",electricity,2055,7485.45462
"NAM",electricity,2060,7485.45462
"NAM",electricity,2065,7485.45462
"NAM",electricity,2070,7485.45462
"NAM",electricity,2075,7485.45462
"NAM",electricity,2080,7485.45462
"NAM",electricity,2085,7485.45462
"NAM",electricity,2090,7485.45462
"NAM",electricity,2095,7485.45462
"NAM",electricity,2100,7485.45462
"NAM",gas,2020,6528.31977
"NAM",gas,2025,6528.31977
"NAM",gas,2030,6528.31977
"NAM",gas,2035,6528.31977
"NAM",gas,2040,6528.31977
"NAM",gas,2045,6528.31977
"NAM",gas,2050,6528.31977
"NAM",gas,2055,6528.31977
"NAM",gas,2060,6528.31977
"NAM",gas,2065,6528.31977
"NAM",gas,2070,6528.31977
"NAM",gas,2075,6528.31977
"NAM",gas,2080,6528.31977
"NAM",gas,2085,6528.31977
"NAM",gas,2090,6528.31977
"NAM",gas,2095,6528.31977
"NAM",gas,2100,6528.31977
PAO,electricity,2020,8806.4172
PAO,electricity,2025,8586.25677
PAO,electricity,2030,8366.09634
PAO,electricity,2035,8145.93591
PAO,electricity,2040,7925.77548
PAO,electricity,2045,7705.61505
PAO,electricity,2050,7485.45462
PAO,electricity,2055,7485.45462
PAO,electricity,2060,7485.45462
PAO,electricity,2065,7485.45462
PAO,electricity,2070,7485.45462
PAO,electricity,2075,7485.45462
PAO,electricity,2080,7485.45462
PAO,electricity,2085,7485.45462
PAO,electricity,2090,7485.45462
PAO,electricity,2095,7485.45462
PAO,electricity,2100,7485.45462
PAO,gas,2020,6528.31977
PAO,gas,2025,6528.31977
PAO,gas,2030,6528.31977
PAO,gas,2035,6528.31977
PAO,gas,2040,6528.31977
PAO,gas,2045,6528.31977
PAO,gas,2050,6528.31977
PAO,gas,2055,6528.31977
PAO,gas,2060,6528.31977
PAO,gas,2065,6528.31977
PAO,gas,2070,6528.31977
PAO,gas,2075,6528.31977
PAO,gas,2080,6528.31977
PAO,gas,2085,6528.31977
PAO,gas,2090,6528.31977
PAO,gas,2095,6528.31977
PAO,gas,2100,6528.31977
PAS,electricity,2020,8806.4172
PAS,electricity,2025,8586.25677
PAS,electricity,2030,8366.09634
PAS,electricity,2035,8145.93591
PAS,electricity,2040,7925.77548
PAS,electricity,2045,7705.61505
PAS,electricity,2050,7485.45462
PAS,electricity,2055,7485.45462
PAS,electricity,2060,7485.45462
PAS,electricity,2065,7485.45462
PAS,electricity,2070,7485.45462
PAS,electricity,2075,7485.45462
PAS,electricity,2080,7485.45462
PAS,electricity,2085,7485.45462
PAS,electricity,2090,7485.45462
PAS,electricity,2095,7485.45462
PAS,electricity,2100,7485.45462
PAS,gas,2020,6528.31977
PAS,gas,2025,6528.31977
PAS,gas,2030,6528.31977
PAS,gas,2035,6528.31977
PAS,gas,2040,6528.31977
PAS,gas,2045,6528.31977
PAS,gas,2050,6528.31977
PAS,gas,2055,6528.31977
PAS,gas,2060,6528.31977
PAS,gas,2065,6528.31977
PAS,gas,2070,6528.31977
PAS,gas,2075,6528.31977
PAS,gas,2080,6528.31977
PAS,gas,2085,6528.31977
PAS,gas,2090,6528.31977
PAS,gas,2095,6528.31977
PAS,gas,2100,6528.31977
SAS,electricity,2020,8806.4172
SAS,electricity,2025,8586.25677
SAS,electricity,2030,8366.09634
SAS,electricity,2035,8145.93591
SAS,electricity,2040,7925.77548
SAS,electricity,2045,7705.61505
SAS,electricity,2050,7485.45462
SAS,electricity,2055,7485.45462
SAS,electricity,2060,7485.45462
SAS,electricity,2065,7485.45462
SAS,electricity,2070,7485.45462
SAS,electricity,2075,7485.45462
SAS,electricity,2080,7485.45462
SAS,electricity,2085,7485.45462
SAS,electricity,2090,7485.45462
SAS,electricity,2095,7485.45462
SAS,electricity,2100,7485.45462
SAS,gas,2020,6528.31977
SAS,gas,2025,6528.31977
SAS,gas,2030,6528.31977
SAS,gas,2035,6528.31977
SAS,gas,2040,6528.31977
SAS,gas,2045,6528.31977
SAS,gas,2050,6528.31977
SAS,gas,2055,6528.31977
SAS,gas,2060,6528.31977
SAS,gas,2065,6528.31977
SAS,gas,2070,6528.31977
SAS,gas,2075,6528.31977
SAS,gas,2080,6528.31977
SAS,gas,2085,6528.31977
SAS,gas,2090,6528.31977
SAS,gas,2095,6528.31977
SAS,gas,2100,6528.31977
WEU,electricity,2020,8806.4172
WEU,electricity,2025,8586.25677
WEU,electricity,2030,8366.09634
WEU,electricity,2035,8145.93591
WEU,electricity,2040,7925.77548
WEU,electricity,2045,7705.61505
WEU,electricity,2050,7485.45462
WEU,electricity,2055,7485.45462
WEU,electricity,2060,7485.45462
WEU,electricity,2065,7485.45462
WEU,electricity,2070,7485.45462
WEU,electricity,2075,7485.45462
WEU,electricity,2080,7485.45462
WEU,electricity,2085,7485.45462
WEU,electricity,2090,7485.45462
WEU,electricity,2095,7485.45462
WEU,electricity,2100,7485.45462
WEU,gas,2020,6528.31977
WEU,gas,2025,6528.31977
WEU,gas,2030,6528.31977
WEU,gas,2035,6528.31977
WEU,gas,2040,6528.31977
WEU,gas,2045,6528.31977
WEU,gas,2050,6528.31977
WEU,gas,2055,6528.31977
WEU,gas,2060,6528.31977
WEU,gas,2065,6528.31977
WEU,gas,2070,6528.31977
WEU,gas,2075,6528.31977
WEU,gas,2080,6528.31977
WEU,gas,2085,6528.31977
WEU,gas,2090,6528.31977
WEU,gas,2095,6528.31977
WEU,gas,2100,6528.31977
