region_bld,urt,inc_cl,region_gea,clim,arch,mat,year,yr_con,bld_age,value
C-EEU-BGR,urb,q1,EEU,Zone_4A Mixed Humid,sfh,perm,2015,2015,p3,7771.74614
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1945,p1,33239.69719
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1960,p2,11044.65129
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1965,p2,23337.08344
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1970,p2,16415.84174
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1975,p2,15464.61247
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1980,p2,14590.10855
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1985,p2,11238.33313
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1990,p2,7040.11102
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1995,p3,1387.93948
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,2000,p3,2650.2119
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,2005,p3,4653.69975
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,2010,p3,5357.95651
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,2015,p3,7540.40271
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,1945,p1,13736.71992
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,1960,p2,4564.34004
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,1965,p2,9644.34114
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,1970,p2,6784.05159
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,1975,p2,6390.94421
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,1980,p2,6029.54453
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,1985,p2,4644.38151
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,1990,p2,2909.41379
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,1995,p3,573.58331
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,2000,p3,1095.23318
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,2005,p3,1923.19951
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,2010,p3,2214.24245
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,2015,p3,3116.16557
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1945,p1,82900.11613
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1960,p2,27545.46377
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1965,p2,58202.90466
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1970,p2,40941.26301
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1975,p2,38568.88836
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1980,p2,36387.86733
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1985,p2,28028.50812
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1990,p2,17558.10286
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1995,p3,3461.53405
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,mfh,perm,2015,2000,p3,6609.65334
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,mfh,perm,2015,2005,p3,11606.37073
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,mfh,perm,2015,2010,p3,13362.79374
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,mfh,perm,2015,2015,p3,18805.83499
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1945,p1,34259.50816
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1960,p2,11383.50685
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1965,p2,24053.07712
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1970,p2,16919.48817
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1975,p2,15939.07471
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1980,p2,15037.74055
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1985,p2,11583.13096
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1990,p2,7256.10522
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1995,p3,1430.52217
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,sfh,perm,2015,2000,p3,2731.52177
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,sfh,perm,2015,2005,p3,4796.47762
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,sfh,perm,2015,2010,p3,5522.3414
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,sfh,perm,2015,2015,p3,7771.74614
C-EEU-BGR,urb,q2,EEU,Zone_5A Cool Humid,mfh,perm,2015,1945,p1,33239.69719
C-EEU-BGR,urb,q2,EEU,Zone_5A Cool Humid,mfh,perm,2015,1960,p2,11044.65129
