region_gea,mat,arch,bld_age,year,parameter,value
AFR,perm,comm,p1,2020,scale,67.34
AFR,perm,comm,p1,2020,shape,1.97
AFR,perm,comm,p1,2025,scale,67.34
AFR,perm,comm,p1,2025,shape,1.97
AFR,perm,comm,p1,2030,scale,67.34
AFR,perm,comm,p1,2030,shape,1.97
AFR,perm,comm,p1,2035,scale,67.34
AFR,perm,comm,p1,2035,shape,1.97
AFR,perm,comm,p1,2040,scale,67.34
AFR,perm,comm,p1,2040,shape,1.97
AFR,perm,comm,p1,2045,scale,67.34
AFR,perm,comm,p1,2045,shape,1.97
AFR,perm,comm,p1,2050,scale,67.34
AFR,perm,comm,p1,2050,shape,1.97
AFR,perm,comm,p1,2055,scale,67.34
AFR,perm,comm,p1,2055,shape,1.97
AFR,perm,comm,p1,2060,scale,67.34
AFR,perm,comm,p1,2060,shape,1.97
AFR,perm,comm,p1,2065,scale,67.34
AFR,perm,comm,p1,2065,shape,1.97
AFR,perm,comm,p1,2070,scale,67.34
AFR,perm,comm,p1,2070,shape,1.97
AFR,perm,comm,p1,2075,scale,67.34
AFR,perm,comm,p1,2075,shape,1.97
AFR,perm,comm,p1,2080,scale,67.34
AFR,perm,comm,p1,2080,shape,1.97
AFR,perm,comm,p1,2085,scale,67.34
AFR,perm,comm,p1,2085,shape,1.97
AFR,perm,comm,p1,2090,scale,67.34
AFR,perm,comm,p1,2090,shape,1.97
AFR,perm,comm,p1,2095,scale,67.34
AFR,perm,comm,p1,2095,shape,1.97
AFR,perm,comm,p1,2100,scale,67.34
AFR,perm,comm,p1,2100,shape,1.97
AFR,perm,comm,p2,2020,scale,67.34
AFR,perm,comm,p2,2020,shape,1.97
AFR,perm,comm,p2,2025,scale,67.34
AFR,perm,comm,p2,2025,shape,1.97
AFR,perm,comm,p2,2030,scale,67.34
AFR,perm,comm,p2,2030,shape,1.97
AFR,perm,comm,p2,2035,scale,67.34
AFR,perm,comm,p2,2035,shape,1.97
AFR,perm,comm,p2,2040,scale,67.34
AFR,perm,comm,p2,2040,shape,1.97
AFR,perm,comm,p2,2045,scale,67.34
AFR,perm,comm,p2,2045,shape,1.97
AFR,perm,comm,p2,2050,scale,67.34
AFR,perm,comm,p2,2050,shape,1.97
AFR,perm,comm,p2,2055,scale,67.34
AFR,perm,comm,p2,2055,shape,1.97
AFR,perm,comm,p2,2060,scale,67.34
AFR,perm,comm,p2,2060,shape,1.97
AFR,perm,comm,p2,2065,scale,67.34
AFR,perm,comm,p2,2065,shape,1.97
AFR,perm,comm,p2,2070,scale,67.34
AFR,perm,comm,p2,2070,shape,1.97
AFR,perm,comm,p2,2075,scale,67.34
