eneff,region_gea,fuel_heat,year,value
ns,AFR,biomass_solid,2015,0.4
ns,AFR,biomass_solid,2020,0.4
ns,AFR,biomass_solid,2025,0.4
ns,AFR,biomass_solid,2030,0.4
ns,AFR,biomass_solid,2035,0.4
ns,AFR,biomass_solid,2040,0.4
ns,AFR,biomass_solid,2045,0.4
ns,AFR,biomass_solid,2050,0.4
ns,AFR,biomass_solid,2055,0.4
ns,AFR,biomass_solid,2060,0.4
ns,AFR,biomass_solid,2065,0.4
ns,AFR,biomass_solid,2070,0.4
ns,AFR,biomass_solid,2075,0.4
ns,AFR,biomass_solid,2080,0.4
ns,AFR,biomass_solid,2085,0.4
ns,AFR,biomass_solid,2090,0.4
ns,AFR,biomass_solid,2095,0.4
ns,AFR,biomass_solid,2100,0.4
ns,AFR,coal,2015,0.75
ns,AFR,coal,2020,0.75
ns,AFR,coal,2025,0.75
ns,AFR,coal,2030,0.75
ns,AFR,coal,2035,0.75
ns,AFR,coal,2040,0.75
ns,AFR,coal,2045,0.75
ns,AFR,coal,2050,0.75
ns,AFR,coal,2055,0.75
ns,AFR,coal,2060,0.75
ns,AFR,coal,2065,0.75
ns,AFR,coal,2070,0.75
ns,AFR,coal,2075,0.75
ns,AFR,coal,2080,0.75
ns,AFR,coal,2085,0.75
ns,AFR,coal,2090,0.75
ns,AFR,coal,2095,0.75
ns,AFR,coal,2100,0.75
ns,AFR,district_heat,2015,0.98
ns,AFR,district_heat,2020,0.98
ns,AFR,district_heat,2025,0.98
ns,AFR,district_heat,2030,0.98
ns,AFR,district_heat,2035,0.98
ns,AFR,district_heat,2040,0.98
ns,AFR,district_heat,2045,0.98
ns,AFR,district_heat,2050,0.98
ns,AFR,district_heat,2055,0.98
ns,AFR,district_heat,2060,0.98
ns,AFR,district_heat,2065,0.98
ns,AFR,district_heat,2070,0.98
ns,AFR,district_heat,2075,0.98
ns,AFR,district_heat,2080,0.98
ns,AFR,district_heat,2085,0.98
ns,AFR,district_heat,2090,0.98
ns,AFR,district_heat,2095,0.98
ns,AFR,district_heat,2100,0.98
ns,AFR,electricity,2015,1
ns,AFR,electricity,2020,1
ns,AFR,electricity,2025,1
ns,AFR,electricity,2030,1
ns,AFR,electricity,2035,1
ns,AFR,electricity,2040,1
ns,AFR,electricity,2045,1
ns,AFR,electricity,2050,1
ns,AFR,electricity,2055,1
ns,AFR,electricity,2060,1
ns,AFR,electricity,2065,1
ns,AFR,electricity,2070,1
ns,AFR,electricity,2075,1
ns,AFR,electricity,2080,1
ns,AFR,electricity,2085,1
ns,AFR,electricity,2090,1
ns,AFR,electricity,2095,1
ns,AFR,electricity,2100,1
ns,AFR,gas,2015,0.75
ns,AFR,gas,2020,0.75
ns,AFR,gas,2025,0.75
ns,AFR,gas,2030,0.75
ns,AFR,gas,2035,0.75
ns,AFR,gas,2040,0.75
ns,AFR,gas,2045,0.75
ns,AFR,gas,2050,0.75
ns,AFR,gas,2055,0.75
ns,AFR,gas,2060,0.75
ns,AFR,gas,2065,0.75
ns,AFR,gas,2070,0.75
ns,AFR,gas,2075,0.75
ns,AFR,gas,2080,0.75
ns,AFR,gas,2085,0.75
ns,AFR,gas,2090,0.75
ns,AFR,gas,2095,0.75
ns,AFR,gas,2100,0.75
ns,AFR,oil,2015,0.75
ns,AFR,oil,2020,0.75
ns,AFR,oil,2025,0.75
ns,AFR,oil,2030,0.75
ns,AFR,oil,2035,0.75
ns,AFR,oil,2040,0.75
ns,AFR,oil,2045,0.75
ns,AFR,oil,2050,0.75
ns,AFR,oil,2055,0.75
ns,AFR,oil,2060,0.75
ns,AFR,oil,2065,0.75
ns,AFR,oil,2070,0.75
ns,AFR,oil,2075,0.75
ns,AFR,oil,2080,0.75
ns,AFR,oil,2085,0.75
ns,AFR,oil,2090,0.75
ns,AFR,oil,2095,0.75
ns,AFR,oil,2100,0.75
s1,AFR,biomass_solid,2015,0.4
s1,AFR,biomass_solid,2020,0.4
s1,AFR,biomass_solid,2025,0.4
s1,AFR,biomass_solid,2030,0.4
s1,AFR,biomass_solid,2035,0.4
s1,AFR,biomass_solid,2040,0.4
s1,AFR,biomass_solid,2045,0.4
s1,AFR,biomass_solid,2050,0.4
s1,AFR,biomass_solid,2055,0.4
s1,AFR,biomass_solid,2060,0.4
s1,AFR,biomass_solid,2065,0.4
s1,AFR,biomass_solid,2070,0.4
s1,AFR,biomass_solid,2075,0.4
s1,AFR,biomass_solid,2080,0.4
s1,AFR,biomass_solid,2085,0.4
s1,AFR,biomass_solid,2090,0.4
s1,AFR,biomass_solid,2095,0.4
s1,AFR,biomass_solid,2100,0.4
s1,AFR,coal,2015,0.75
s1,AFR,coal,2020,0.75
s1,AFR,coal,2025,0.75
s1,AFR,coal,2030,0.75
s1,AFR,coal,2035,0.75
s1,AFR,coal,2040,0.75
s1,AFR,coal,2045,0.75
s1,AFR,coal,2050,0.75
s1,AFR,coal,2055,0.75
s1,AFR,coal,2060,0.75
s1,AFR,coal,2065,0.75
s1,AFR,coal,2070,0.75
s1,AFR,coal,2075,0.75
s1,AFR,coal,2080,0.75
s1,AFR,coal,2085,0.75
s1,AFR,coal,2090,0.75
s1,AFR,coal,2095,0.75
s1,AFR,coal,2100,0.75
s1,AFR,district_heat,2015,0.98
s1,AFR,district_heat,2020,0.98
s1,AFR,district_heat,2025,0.98
s1,AFR,district_heat,2030,0.98
s1,AFR,district_heat,2035,0.98
s1,AFR,district_heat,2040,0.98
s1,AFR,district_heat,2045,0.98
s1,AFR,district_heat,2050,0.98
s1,AFR,district_heat,2055,0.98
s1,AFR,district_heat,2060,0.98
s1,AFR,district_heat,2065,0.98
s1,AFR,district_heat,2070,0.98
s1,AFR,district_heat,2075,0.98
s1,AFR,district_heat,2080,0.98
s1,AFR,district_heat,2085,0.98
s1,AFR,district_heat,2090,0.98
s1,AFR,district_heat,2095,0.98
s1,AFR,district_heat,2100,0.98
s1,AFR,electricity,2015,1
s1,AFR,electricity,2020,1
s1,AFR,electricity,2025,1
s1,AFR,electricity,2030,1
s1,AFR,electricity,2035,1
s1,AFR,electricity,2040,1
s1,AFR,electricity,2045,1
s1,AFR,electricity,2050,1
s1,AFR,electricity,2055,1
s1,AFR,electricity,2060,1
s1,AFR,electricity,2065,1
s1,AFR,electricity,2070,1
s1,AFR,electricity,2075,1
s1,AFR,electricity,2080,1
s1,AFR,electricity,2085,1
s1,AFR,electricity,2090,1
s1,AFR,electricity,2095,1
s1,AFR,electricity,2100,1
s1,AFR,gas,2015,0.75
s1,AFR,gas,2020,0.75
s1,AFR,gas,2025,0.75
s1,AFR,gas,2030,0.75
s1,AFR,gas,2035,0.75
s1,AFR,gas,2040,0.75
s1,AFR,gas,2045,0.75
s1,AFR,gas,2050,0.75
s1,AFR,gas,2055,0.75
