"region","material_type","year","emission_factor"
"C-EEU-CZE","bio-based_polypropylene",2075,1.745
"C-EEU-CZE","bio-based_polypropylene",2080,1.745
"C-EEU-CZE","bio-based_polypropylene",2085,1.745
"C-EEU-CZE","bio-based_polypropylene",2090,1.745
"C-EEU-CZE","bio-based_polypropylene",2095,1.745
"C-EEU-CZE","bio-based_polypropylene",2100,1.745
"C-EEU-CZE","bio-based_polystyrene",2020,1.745
"C-EEU-CZE","bio-based_polystyrene",2025,1.745
"C-EEU-CZE","bio-based_polystyrene",2030,1.745
"C-EEU-CZE","bio-based_polystyrene",2035,1.745
"C-EEU-CZE","bio-based_polystyrene",2040,1.745
"C-EEU-CZE","bio-based_polystyrene",2045,1.745
"C-EEU-CZE","bio-based_polystyrene",2050,1.745
"C-EEU-CZE","bio-based_polystyrene",2055,1.745
"C-EEU-CZE","bio-based_polystyrene",2060,1.745
"C-EEU-CZE","bio-based_polystyrene",2065,1.745
"C-EEU-CZE","bio-based_polystyrene",2070,1.745
"C-EEU-CZE","bio-based_polystyrene",2075,1.745
"C-EEU-CZE","bio-based_polystyrene",2080,1.745
"C-EEU-CZE","bio-based_polystyrene",2085,1.745
"C-EEU-CZE","bio-based_polystyrene",2090,1.745
"C-EEU-CZE","bio-based_polystyrene",2095,1.745
"C-EEU-CZE","bio-based_polystyrene",2100,1.745
"C-EEU-CZE","brick",2020,0.255354211059323
"C-EEU-CZE","brick",2030,0.253436368881112
"C-EEU-CZE","brick",2040,0.252067883933655
"C-EEU-CZE","brick",2050,0.249216103092977
"C-EEU-CZE","brick",2060,0.242895938067345
"C-EEU-CZE","brick",2070,0.239871420112532
"C-EEU-CZE","brick",2080,0.23864220810427
"C-EEU-CZE","brick",2090,0.236807361914845
"C-EEU-CZE","brick",2100,0.234254489674243
"C-EEU-CZE","concrete",2020,0.825349510201989
"C-EEU-CZE","concrete",2030,0.79802661435771
"C-EEU-CZE","concrete",2040,0.740798042870699
"C-EEU-CZE","concrete",2050,0.710818580398354
"C-EEU-CZE","concrete",2060,0.689925322815031
"C-EEU-CZE","concrete",2070,0.680203461352861
"C-EEU-CZE","concrete",2080,0.67453668911707
"C-EEU-CZE","concrete",2090,0.668619515507331
"C-EEU-CZE","concrete",2100,0.664333779969531
"C-EEU-CZE","copper",2020,5.67166444082771
"C-EEU-CZE","copper",2030,5.47573566435761
"C-EEU-CZE","copper",2040,5.3823136803621
"C-EEU-CZE","copper",2050,5.26754024419668
"C-EEU-CZE","copper",2060,4.75059903307488
"C-EEU-CZE","copper",2070,4.5332657836101
"C-EEU-CZE","copper",2080,4.38949323163255
"C-EEU-CZE","copper",2090,4.22391605761607
"C-EEU-CZE","copper",2100,4.11636329938511
"C-EEU-CZE","glass",2020,1.12804238296091
"C-EEU-CZE","glass",2030,1.0991971437951
"C-EEU-CZE","glass",2040,1.04173136056578
"C-EEU-CZE","glass",2050,1.00997904439863
"C-EEU-CZE","glass",2060,0.982933418822496
"C-EEU-CZE","glass",2070,0.970526350755339
"C-EEU-CZE","glass",2080,0.963779188400643
"C-EEU-CZE","glass",2090,0.955943364650483
"C-EEU-CZE","glass",2100,0.949564751334641
"C-EEU-CZE","mortar",2020,0.219366781733747
"C-EEU-CZE","mortar",2030,0.216356666815275
"C-EEU-CZE","mortar",2040,0.213760047127738
"C-EEU-CZE","mortar",2050,0.210694837059892
"C-EEU-CZE","mortar",2060,0.204638321144783
"C-EEU-CZE","mortar",2070,0.201597547225779
"C-EEU-CZE","mortar",2080,0.200170427421674
"C-EEU-CZE","mortar",2090,0.198248595633224
"C-EEU-CZE","mortar",2100,0.196304553839926
"C-EEU-CZE","other_materials",2020,2.95
"C-EEU-CZE","other_materials",2025,2.95
"C-EEU-CZE","other_materials",2030,2.95
"C-EEU-CZE","other_materials",2035,2.95
"C-EEU-CZE","other_materials",2040,2.95
"C-EEU-CZE","other_materials",2045,2.95
"C-EEU-CZE","other_materials",2050,2.95
"C-EEU-CZE","other_materials",2055,2.95
"C-EEU-CZE","other_materials",2060,2.95
"C-EEU-CZE","other_materials",2065,2.95
"C-EEU-CZE","other_materials",2070,2.95
"C-EEU-CZE","other_materials",2075,2.95
"C-EEU-CZE","other_materials",2080,2.95
"C-EEU-CZE","other_materials",2085,2.95
"C-EEU-CZE","other_materials",2090,2.95
"C-EEU-CZE","other_materials",2095,2.95
"C-EEU-CZE","other_materials",2100,2.95
"C-EEU-CZE","other_plastics",2020,3.45
"C-EEU-CZE","other_plastics",2025,3.45
"C-EEU-CZE","other_plastics",2030,3.45
"C-EEU-CZE","other_plastics",2035,3.45
"C-EEU-CZE","other_plastics",2040,3.45
"C-EEU-CZE","other_plastics",2045,3.45
"C-EEU-CZE","other_plastics",2050,3.45
"C-EEU-CZE","other_plastics",2055,3.45
"C-EEU-CZE","other_plastics",2060,3.45
"C-EEU-CZE","other_plastics",2065,3.45
"C-EEU-CZE","other_plastics",2070,3.45
"C-EEU-CZE","other_plastics",2075,3.45
"C-EEU-CZE","other_plastics",2080,3.45
"C-EEU-CZE","other_plastics",2085,3.45
"C-EEU-CZE","other_plastics",2090,3.45
"C-EEU-CZE","other_plastics",2095,3.45
"C-EEU-CZE","other_plastics",2100,3.45
"C-EEU-CZE","plaster",2020,0.907684029470872
"C-EEU-CZE","plaster",2030,0.885176815467904
"C-EEU-CZE","plaster",2040,0.841361850987335
"C-EEU-CZE","plaster",2050,0.816687669613535
"C-EEU-CZE","plaster",2060,0.794590192956287
"C-EEU-CZE","plaster",2070,0.784393741324948
"C-EEU-CZE","plaster",2080,0.778910404544169
"C-EEU-CZE","plaster",2090,0.772450747271682
"C-EEU-CZE","plaster",2100,0.767100043368631
"C-EEU-CZE","polypropylene",2020,2.85
"C-EEU-CZE","polypropylene",2025,2.85
"C-EEU-CZE","polypropylene",2030,2.85
"C-EEU-CZE","polypropylene",2035,2.85
"C-EEU-CZE","polypropylene",2040,2.85
"C-EEU-CZE","polypropylene",2045,2.85
"C-EEU-CZE","polypropylene",2050,2.85
"C-EEU-CZE","polypropylene",2055,2.85
"C-EEU-CZE","polypropylene",2060,2.85
"C-EEU-CZE","polypropylene",2065,2.85
"C-EEU-CZE","polypropylene",2070,2.85
"C-EEU-CZE","polypropylene",2075,2.85
"C-EEU-CZE","polypropylene",2080,2.85
"C-EEU-CZE","polypropylene",2085,2.85
"C-EEU-CZE","polypropylene",2090,2.85
"C-EEU-CZE","polypropylene",2095,2.85
"C-EEU-CZE","polypropylene",2100,2.85
"C-EEU-CZE","polystyrene",2020,4.19
"C-EEU-CZE","polystyrene",2025,4.19
"C-EEU-CZE","polystyrene",2030,4.19
"C-EEU-CZE","polystyrene",2035,4.19
"C-EEU-CZE","polystyrene",2040,4.19
"C-EEU-CZE","polystyrene",2045,4.19
"C-EEU-CZE","polystyrene",2050,4.19
"C-EEU-CZE","polystyrene",2055,4.19
"C-EEU-CZE","polystyrene",2060,4.19
"C-EEU-CZE","polystyrene",2065,4.19
"C-EEU-CZE","polystyrene",2070,4.19
"C-EEU-CZE","polystyrene",2075,4.19
"C-EEU-CZE","polystyrene",2080,4.19
"C-EEU-CZE","polystyrene",2085,4.19
"C-EEU-CZE","polystyrene",2090,4.19
"C-EEU-CZE","polystyrene",2095,4.19
"C-EEU-CZE","polystyrene",2100,4.19
"C-EEU-CZE","steel",2020,0.880637011769495
"C-EEU-CZE","steel",2030,0.858519884815397
"C-EEU-CZE","steel",2040,0.814925974206866
"C-EEU-CZE","steel",2050,0.790561411586921
"C-EEU-CZE","steel",2060,0.769424212774861
"C-EEU-CZE","steel",2070,0.759651179498065
"C-EEU-CZE","steel",2080,0.754380233819922
"C-EEU-CZE","steel",2090,0.748247745643613
"C-EEU-CZE","steel",2100,0.743160103423421
"C-EEU-CZE","wood",2020,0.131523388973096
"C-EEU-CZE","wood",2030,0.127918747330539
"C-EEU-CZE","wood",2040,0.125486657550788
"C-EEU-CZE","wood",2050,0.118844379619748
"C-EEU-CZE","wood",2060,0.10425698929116
"C-EEU-CZE","wood",2070,0.0970234452844144
"C-EEU-CZE","wood",2080,0.094039006612327
"C-EEU-CZE","wood",2090,0.0899482567735193
"C-EEU-CZE","wood",2100,0.0840177761480068
"C-EEU-EST","acrylonitrile_butadiene_styrene",2020,4.19
"C-EEU-EST","acrylonitrile_butadiene_styrene",2025,4.19
"C-EEU-EST","acrylonitrile_butadiene_styrene",2030,4.19
"C-EEU-EST","acrylonitrile_butadiene_styrene",2035,4.19
"C-EEU-EST","acrylonitrile_butadiene_styrene",2040,4.19
"C-EEU-EST","acrylonitrile_butadiene_styrene",2045,4.19
"C-EEU-EST","acrylonitrile_butadiene_styrene",2050,4.19
"C-EEU-EST","acrylonitrile_butadiene_styrene",2055,4.19
"C-EEU-EST","acrylonitrile_butadiene_styrene",2060,4.19
"C-EEU-EST","acrylonitrile_butadiene_styrene",2065,4.19
"C-EEU-EST","acrylonitrile_butadiene_styrene",2070,4.19
"C-EEU-EST","acrylonitrile_butadiene_styrene",2075,4.19
"C-EEU-EST","acrylonitrile_butadiene_styrene",2080,4.19
"C-EEU-EST","acrylonitrile_butadiene_styrene",2085,4.19
"C-EEU-EST","acrylonitrile_butadiene_styrene",2090,4.19
"C-EEU-EST","acrylonitrile_butadiene_styrene",2095,4.19
"C-EEU-EST","acrylonitrile_butadiene_styrene",2100,4.19
"C-EEU-EST","aluminium",2020,14.5075193220672
"C-EEU-EST","aluminium",2030,14.2596740244073
"C-EEU-EST","aluminium",2040,14.1431842283059
"C-EEU-EST","aluminium",2050,13.7128182589558
"C-EEU-EST","aluminium",2060,12.2380939921977
"C-EEU-EST","aluminium",2070,11.626246883642
"C-EEU-EST","aluminium",2080,11.2203701639442
"C-EEU-EST","aluminium",2090,10.8206822897633
"C-EEU-EST","aluminium",2100,10.6050333265886
"C-EEU-EST","bio-based_polypropylene",2020,1.745
"C-EEU-EST","bio-based_polypropylene",2025,1.745
"C-EEU-EST","bio-based_polypropylene",2030,1.745
"C-EEU-EST","bio-based_polypropylene",2035,1.745
"C-EEU-EST","bio-based_polypropylene",2040,1.745
"C-EEU-EST","bio-based_polypropylene",2045,1.745
"C-EEU-EST","bio-based_polypropylene",2050,1.745
"C-EEU-EST","bio-based_polypropylene",2055,1.745
"C-EEU-EST","bio-based_polypropylene",2060,1.745
"C-EEU-EST","bio-based_polypropylene",2065,1.745
"C-EEU-EST","bio-based_polypropylene",2070,1.745
"C-EEU-EST","bio-based_polypropylene",2075,1.745
"C-EEU-EST","bio-based_polypropylene",2080,1.745
"C-EEU-EST","bio-based_polypropylene",2085,1.745
"C-EEU-EST","bio-based_polypropylene",2090,1.745
"C-EEU-EST","bio-based_polypropylene",2095,1.745
"C-EEU-EST","bio-based_polypropylene",2100,1.745
"C-EEU-EST","bio-based_polystyrene",2020,1.745
"C-EEU-EST","bio-based_polystyrene",2025,1.745
"C-EEU-EST","bio-based_polystyrene",2030,1.745
"C-EEU-EST","bio-based_polystyrene",2035,1.745
"C-EEU-EST","bio-based_polystyrene",2040,1.745
"C-EEU-EST","bio-based_polystyrene",2045,1.745
"C-EEU-EST","bio-based_polystyrene",2050,1.745
"C-EEU-EST","bio-based_polystyrene",2055,1.745
"C-EEU-EST","bio-based_polystyrene",2060,1.745
"C-EEU-EST","bio-based_polystyrene",2065,1.745
"C-EEU-EST","bio-based_polystyrene",2070,1.745
"C-EEU-EST","bio-based_polystyrene",2075,1.745
"C-EEU-EST","bio-based_polystyrene",2080,1.745
"C-EEU-EST","bio-based_polystyrene",2085,1.745
"C-EEU-EST","bio-based_polystyrene",2090,1.745
"C-EEU-EST","bio-based_polystyrene",2095,1.745
"C-EEU-EST","bio-based_polystyrene",2100,1.745
"C-EEU-EST","brick",2020,0.255354211059323
"C-EEU-EST","brick",2030,0.253436368881112
"C-EEU-EST","brick",2040,0.252067883933655
"C-EEU-EST","brick",2050,0.249216103092977
"C-EEU-EST","brick",2060,0.242895938067345
"C-EEU-EST","brick",2070,0.239871420112532
"C-EEU-EST","brick",2080,0.23864220810427
"C-EEU-EST","brick",2090,0.236807361914845
"C-EEU-EST","brick",2100,0.234254489674243
"C-EEU-EST","concrete",2020,0.825349510201989
"C-EEU-EST","concrete",2030,0.79802661435771
"C-EEU-EST","concrete",2040,0.740798042870699
"C-EEU-EST","concrete",2050,0.710818580398354
"C-EEU-EST","concrete",2060,0.689925322815031
"C-EEU-EST","concrete",2070,0.680203461352861
"C-EEU-EST","concrete",2080,0.67453668911707
"C-EEU-EST","concrete",2090,0.668619515507331
"C-EEU-EST","concrete",2100,0.664333779969531
"C-EEU-EST","copper",2020,5.67166444082771
"C-EEU-EST","copper",2030,5.47573566435761
"C-EEU-EST","copper",2040,5.3823136803621
"C-EEU-EST","copper",2050,5.26754024419668
"C-EEU-EST","copper",2060,4.75059903307488
"C-EEU-EST","copper",2070,4.5332657836101
"C-EEU-EST","copper",2080,4.38949323163255
"C-EEU-EST","copper",2090,4.22391605761607
"C-EEU-EST","copper",2100,4.11636329938511
"C-EEU-EST","glass",2020,1.12804238296091
"C-EEU-EST","glass",2030,1.0991971437951
"C-EEU-EST","glass",2040,1.04173136056578
"C-EEU-EST","glass",2050,1.00997904439863
"C-EEU-EST","glass",2060,0.982933418822496
"C-EEU-EST","glass",2070,0.970526350755339
"C-EEU-EST","glass",2080,0.963779188400643
"C-EEU-EST","glass",2090,0.955943364650483
"C-EEU-EST","glass",2100,0.949564751334641
"C-EEU-EST","mortar",2020,0.219366781733747
"C-EEU-EST","mortar",2030,0.216356666815275
"C-EEU-EST","mortar",2040,0.213760047127738
"C-EEU-EST","mortar",2050,0.210694837059892
"C-EEU-EST","mortar",2060,0.204638321144783
"C-EEU-EST","mortar",2070,0.201597547225779
"C-EEU-EST","mortar",2080,0.200170427421674
"C-EEU-EST","mortar",2090,0.198248595633224
"C-EEU-EST","mortar",2100,0.196304553839926
"C-EEU-EST","other_materials",2020,2.95
"C-EEU-EST","other_materials",2025,2.95
"C-EEU-EST","other_materials",2030,2.95
"C-EEU-EST","other_materials",2035,2.95
"C-EEU-EST","other_materials",2040,2.95
"C-EEU-EST","other_materials",2045,2.95
"C-EEU-EST","other_materials",2050,2.95
"C-EEU-EST","other_materials",2055,2.95
"C-EEU-EST","other_materials",2060,2.95
"C-EEU-EST","other_materials",2065,2.95
"C-EEU-EST","other_materials",2070,2.95
"C-EEU-EST","other_materials",2075,2.95
"C-EEU-EST","other_materials",2080,2.95
"C-EEU-EST","other_materials",2085,2.95
"C-EEU-EST","other_materials",2090,2.95
"C-EEU-EST","other_materials",2095,2.95
"C-EEU-EST","other_materials",2100,2.95
"C-EEU-EST","other_plastics",2020,3.45
"C-EEU-EST","other_plastics",2025,3.45
"C-EEU-EST","other_plastics",2030,3.45
"C-EEU-EST","other_plastics",2035,3.45
"C-EEU-EST","other_plastics",2040,3.45
"C-EEU-EST","other_plastics",2045,3.45
"C-EEU-EST","other_plastics",2050,3.45
"C-EEU-EST","other_plastics",2055,3.45
