region,year,yrs_prod,type,energy_label,fuel,energy_intensity_per_year
C-EEU-BGR,1990,1990,WASH_MACH,A,electricity,0.476982
C-EEU-BGR,1990,1990,WASH_MACH,B,electricity,0.5726556
C-EEU-BGR,1990,1990,WASH_MACH,C,electricity,0.6557364
C-EEU-BGR,1990,1990,WASH_MACH,D,electricity,0.7643988
C-EEU-BGR,1990,1990,WASH_MACH,E,electricity,0.84843
C-EEU-BGR,1990,1990,WASH_MACH,F,electricity,0.953568
C-EEU-BGR,1990,1990,WASH_MACH,G,electricity,1.117314
C-EEU-BGR,1990,1990,WASH_MACH_COM,A,electricity,5.2683264
C-EEU-BGR,1990,1990,WASH_MACH_COM,B,electricity,6.6881052
C-EEU-BGR,1990,1990,WASH_MACH_COM,C,electricity,8.5362552
C-EEU-BGR,1990,1990,WASH_MACH_COM,D,electricity,10.5270624
C-EEU-BGR,1990,1990,WASH_MACH_COM,E,electricity,11.21877
C-EEU-BGR,1990,1990,WASH_MACH_COM,F,electricity,12.5722152
C-EEU-BGR,1990,1990,WASH_MACH_COM,G,electricity,14.0914944
C-EEU-BGR,1995,1990,WASH_MACH,A,electricity,0.476982
C-EEU-BGR,1995,1990,WASH_MACH,B,electricity,0.5726556
C-EEU-BGR,1995,1990,WASH_MACH,C,electricity,0.6557364
C-EEU-BGR,1995,1990,WASH_MACH,D,electricity,0.7643988
C-EEU-BGR,1995,1990,WASH_MACH,E,electricity,0.84843
C-EEU-BGR,1995,1990,WASH_MACH,F,electricity,0.953568
C-EEU-BGR,1995,1990,WASH_MACH,G,electricity,1.117314
C-EEU-BGR,1995,1995,WASH_MACH,A,electricity,0.4531428
C-EEU-BGR,1995,1995,WASH_MACH,B,electricity,0.5440644
C-EEU-BGR,1995,1995,WASH_MACH,C,electricity,0.62271
C-EEU-BGR,1995,1995,WASH_MACH,D,electricity,0.726264
C-EEU-BGR,1995,1995,WASH_MACH,E,electricity,0.8062164
C-EEU-BGR,1995,1995,WASH_MACH,F,electricity,0.9059688
C-EEU-BGR,1995,1995,WASH_MACH,G,electricity,1.06128
C-EEU-BGR,1995,1990,WASH_MACH_COM,A,electricity,5.2683264
C-EEU-BGR,1995,1990,WASH_MACH_COM,B,electricity,6.6881052
C-EEU-BGR,1995,1990,WASH_MACH_COM,C,electricity,8.5362552
C-EEU-BGR,1995,1990,WASH_MACH_COM,D,electricity,10.5270624
C-EEU-BGR,1995,1990,WASH_MACH_COM,E,electricity,11.21877
C-EEU-BGR,1995,1990,WASH_MACH_COM,F,electricity,12.5722152
C-EEU-BGR,1995,1990,WASH_MACH_COM,G,electricity,14.0914944
C-EEU-BGR,1995,1995,WASH_MACH_COM,A,electricity,5.0045904
C-EEU-BGR,1995,1995,WASH_MACH_COM,B,electricity,6.3532404
C-EEU-BGR,1995,1995,WASH_MACH_COM,C,electricity,8.1110808
C-EEU-BGR,1995,1995,WASH_MACH_COM,D,electricity,10.003986
C-EEU-BGR,1995,1995,WASH_MACH_COM,E,electricity,10.6545348
C-EEU-BGR,1995,1995,WASH_MACH_COM,F,electricity,11.946042
C-EEU-BGR,1995,1995,WASH_MACH_COM,G,electricity,13.3873992
C-EEU-BGR,2000,1990,WASH_MACH,A,electricity,0.476982
C-EEU-BGR,2000,1990,WASH_MACH,B,electricity,0.5726556
C-EEU-BGR,2000,1990,WASH_MACH,C,electricity,0.6557364
C-EEU-BGR,2000,1990,WASH_MACH,D,electricity,0.7643988
C-EEU-BGR,2000,1990,WASH_MACH,E,electricity,0.84843
C-EEU-BGR,2000,1990,WASH_MACH,F,electricity,0.953568
C-EEU-BGR,2000,1990,WASH_MACH,G,electricity,1.117314
C-EEU-BGR,2000,1995,WASH_MACH,A,electricity,0.4531428
C-EEU-BGR,2000,1995,WASH_MACH,B,electricity,0.5440644
C-EEU-BGR,2000,1995,WASH_MACH,C,electricity,0.62271
C-EEU-BGR,2000,1995,WASH_MACH,D,electricity,0.726264
C-EEU-BGR,2000,1995,WASH_MACH,E,electricity,0.8062164
C-EEU-BGR,2000,1995,WASH_MACH,F,electricity,0.9059688
C-EEU-BGR,2000,1995,WASH_MACH,G,electricity,1.06128
C-EEU-BGR,2000,2000,WASH_MACH,A,electricity,0.4293432
C-EEU-BGR,2000,2000,WASH_MACH,B,electricity,0.5155128
C-EEU-BGR,2000,2000,WASH_MACH,C,electricity,0.5900796
C-EEU-BGR,2000,2000,WASH_MACH,D,electricity,0.6881688
C-EEU-BGR,2000,2000,WASH_MACH,E,electricity,0.7636068
C-EEU-BGR,2000,2000,WASH_MACH,F,electricity,0.8583696
C-EEU-BGR,2000,2000,WASH_MACH,G,electricity,1.005246
C-EEU-BGR,2000,1990,WASH_MACH_COM,A,electricity,5.2683264
C-EEU-BGR,2000,1990,WASH_MACH_COM,B,electricity,6.6881052
C-EEU-BGR,2000,1990,WASH_MACH_COM,C,electricity,8.5362552
C-EEU-BGR,2000,1990,WASH_MACH_COM,D,electricity,10.5270624
C-EEU-BGR,2000,1990,WASH_MACH_COM,E,electricity,11.21877
C-EEU-BGR,2000,1990,WASH_MACH_COM,F,electricity,12.5722152
C-EEU-BGR,2000,1990,WASH_MACH_COM,G,electricity,14.0914944
C-EEU-BGR,2000,1995,WASH_MACH_COM,A,electricity,5.0045904
C-EEU-BGR,2000,1995,WASH_MACH_COM,B,electricity,6.3532404
C-EEU-BGR,2000,1995,WASH_MACH_COM,C,electricity,8.1110808
C-EEU-BGR,2000,1995,WASH_MACH_COM,D,electricity,10.003986
C-EEU-BGR,2000,1995,WASH_MACH_COM,E,electricity,10.6545348
C-EEU-BGR,2000,1995,WASH_MACH_COM,F,electricity,11.946042
C-EEU-BGR,2000,1995,WASH_MACH_COM,G,electricity,13.3873992
C-EEU-BGR,2000,2000,WASH_MACH_COM,A,electricity,4.741254
C-EEU-BGR,2000,2000,WASH_MACH_COM,B,electricity,6.0183756
C-EEU-BGR,2000,2000,WASH_MACH_COM,C,electricity,7.6819104
C-EEU-BGR,2000,2000,WASH_MACH_COM,D,electricity,9.4773132
C-EEU-BGR,2000,2000,WASH_MACH_COM,E,electricity,10.0946952
C-EEU-BGR,2000,2000,WASH_MACH_COM,F,electricity,11.3162724
C-EEU-BGR,2000,2000,WASH_MACH_COM,G,electricity,12.683304
C-EEU-BGR,2005,1990,WASH_MACH,A,electricity,0.476982
C-EEU-BGR,2005,1990,WASH_MACH,B,electricity,0.5726556
C-EEU-BGR,2005,1990,WASH_MACH,C,electricity,0.6557364
C-EEU-BGR,2005,1990,WASH_MACH,D,electricity,0.7643988
C-EEU-BGR,2005,1990,WASH_MACH,E,electricity,0.84843
C-EEU-BGR,2005,1990,WASH_MACH,F,electricity,0.953568
C-EEU-BGR,2005,1990,WASH_MACH,G,electricity,1.117314
C-EEU-BGR,2005,1995,WASH_MACH,A,electricity,0.4531428
C-EEU-BGR,2005,1995,WASH_MACH,B,electricity,0.5440644
C-EEU-BGR,2005,1995,WASH_MACH,C,electricity,0.62271
C-EEU-BGR,2005,1995,WASH_MACH,D,electricity,0.726264
C-EEU-BGR,2005,1995,WASH_MACH,E,electricity,0.8062164
C-EEU-BGR,2005,1995,WASH_MACH,F,electricity,0.9059688
C-EEU-BGR,2005,1995,WASH_MACH,G,electricity,1.06128
C-EEU-BGR,2005,2000,WASH_MACH,A,electricity,0.4293432
C-EEU-BGR,2005,2000,WASH_MACH,B,electricity,0.5155128
C-EEU-BGR,2005,2000,WASH_MACH,C,electricity,0.5900796
C-EEU-BGR,2005,2000,WASH_MACH,D,electricity,0.6881688
C-EEU-BGR,2005,2000,WASH_MACH,E,electricity,0.7636068
C-EEU-BGR,2005,2000,WASH_MACH,F,electricity,0.8583696
C-EEU-BGR,2005,2000,WASH_MACH,G,electricity,1.005246
C-EEU-BGR,2005,2005,WASH_MACH,A,electricity,0.4088304
C-EEU-BGR,2005,2005,WASH_MACH,B,electricity,0.4909608
C-EEU-BGR,2005,2005,WASH_MACH,C,electricity,0.5621616
C-EEU-BGR,2005,2005,WASH_MACH,D,electricity,0.6551424
C-EEU-BGR,2005,2005,WASH_MACH,E,electricity,0.7272144
C-EEU-BGR,2005,2005,WASH_MACH,F,electricity,0.817344
C-EEU-BGR,2005,2005,WASH_MACH,G,electricity,0.957528
C-EEU-BGR,2005,1990,WASH_MACH_COM,A,electricity,5.2683264
C-EEU-BGR,2005,1990,WASH_MACH_COM,B,electricity,6.6881052
C-EEU-BGR,2005,1990,WASH_MACH_COM,C,electricity,8.5362552
C-EEU-BGR,2005,1990,WASH_MACH_COM,D,electricity,10.5270624
C-EEU-BGR,2005,1990,WASH_MACH_COM,E,electricity,11.21877
C-EEU-BGR,2005,1990,WASH_MACH_COM,F,electricity,12.5722152
C-EEU-BGR,2005,1990,WASH_MACH_COM,G,electricity,14.0914944
C-EEU-BGR,2005,1995,WASH_MACH_COM,A,electricity,5.0045904
C-EEU-BGR,2005,1995,WASH_MACH_COM,B,electricity,6.3532404
C-EEU-BGR,2005,1995,WASH_MACH_COM,C,electricity,8.1110808
C-EEU-BGR,2005,1995,WASH_MACH_COM,D,electricity,10.003986
C-EEU-BGR,2005,1995,WASH_MACH_COM,E,electricity,10.6545348
C-EEU-BGR,2005,1995,WASH_MACH_COM,F,electricity,11.946042
C-EEU-BGR,2005,1995,WASH_MACH_COM,G,electricity,13.3873992
C-EEU-BGR,2005,2000,WASH_MACH_COM,A,electricity,4.741254
C-EEU-BGR,2005,2000,WASH_MACH_COM,B,electricity,6.0183756
C-EEU-BGR,2005,2000,WASH_MACH_COM,C,electricity,7.6819104
C-EEU-BGR,2005,2000,WASH_MACH_COM,D,electricity,9.4773132
C-EEU-BGR,2005,2000,WASH_MACH_COM,E,electricity,10.0946952
C-EEU-BGR,2005,2000,WASH_MACH_COM,F,electricity,11.3162724
C-EEU-BGR,2005,2000,WASH_MACH_COM,G,electricity,12.683304
C-EEU-BGR,2005,2005,WASH_MACH_COM,A,electricity,4.5162792
C-EEU-BGR,2005,2005,WASH_MACH_COM,B,electricity,5.7310632
C-EEU-BGR,2005,2005,WASH_MACH_COM,C,electricity,7.3190736
C-EEU-BGR,2005,2005,WASH_MACH_COM,D,electricity,9.0237672
C-EEU-BGR,2005,2005,WASH_MACH_COM,E,electricity,9.614376
C-EEU-BGR,2005,2005,WASH_MACH_COM,F,electricity,10.7748144
C-EEU-BGR,2005,2005,WASH_MACH_COM,G,electricity,12.0775104
C-EEU-BGR,2010,1990,WASH_MACH,A,electricity,0.390258
C-EEU-BGR,2010,1990,WASH_MACH,B,electricity,0.4685364
C-EEU-BGR,2010,1990,WASH_MACH,C,electricity,0.5365116
C-EEU-BGR,2010,1990,WASH_MACH,D,electricity,0.6254172
C-EEU-BGR,2010,1990,WASH_MACH,E,electricity,0.69417
C-EEU-BGR,2010,1990,WASH_MACH,F,electricity,0.780192
C-EEU-BGR,2010,1990,WASH_MACH,G,electricity,0.914166
C-EEU-BGR,2010,1995,WASH_MACH,A,electricity,0.3707532
C-EEU-BGR,2010,1995,WASH_MACH,B,electricity,0.4451436
C-EEU-BGR,2010,1995,WASH_MACH,C,electricity,0.50949
C-EEU-BGR,2010,1995,WASH_MACH,D,electricity,0.594216
C-EEU-BGR,2010,1995,WASH_MACH,E,electricity,0.6596316
C-EEU-BGR,2010,1995,WASH_MACH,F,electricity,0.7412472
C-EEU-BGR,2010,1995,WASH_MACH,G,electricity,0.86832
C-EEU-BGR,2010,2000,WASH_MACH,A,electricity,0.3512808
C-EEU-BGR,2010,2000,WASH_MACH,B,electricity,0.4217832
C-EEU-BGR,2010,2000,WASH_MACH,C,electricity,0.4827924
C-EEU-BGR,2010,2000,WASH_MACH,D,electricity,0.5630472
C-EEU-BGR,2010,2000,WASH_MACH,E,electricity,0.6247692
C-EEU-BGR,2010,2000,WASH_MACH,F,electricity,0.7023024
C-EEU-BGR,2010,2000,WASH_MACH,G,electricity,0.822474
C-EEU-BGR,2010,2005,WASH_MACH,A,electricity,0.3344976
C-EEU-BGR,2010,2005,WASH_MACH,B,electricity,0.4016952
C-EEU-BGR,2010,2005,WASH_MACH,C,electricity,0.4599504
C-EEU-BGR,2010,2005,WASH_MACH,D,electricity,0.5360256
C-EEU-BGR,2010,2005,WASH_MACH,E,electricity,0.5949936
C-EEU-BGR,2010,2005,WASH_MACH,F,electricity,0.668736
C-EEU-BGR,2010,2005,WASH_MACH,G,electricity,0.783432
C-EEU-BGR,2010,2010,WASH_MACH,A,electricity,0.3150252
C-EEU-BGR,2010,2010,WASH_MACH,B,electricity,0.3783024
C-EEU-BGR,2010,2010,WASH_MACH,C,electricity,0.4329288
C-EEU-BGR,2010,2010,WASH_MACH,D,electricity,0.5048244
C-EEU-BGR,2010,2010,WASH_MACH,E,electricity,0.5604552
C-EEU-BGR,2010,2010,WASH_MACH,F,electricity,0.6297912
C-EEU-BGR,2010,2010,WASH_MACH,G,electricity,0.737586
C-EEU-BGR,2010,1990,WASH_MACH_COM,A,electricity,4.271616
C-EEU-BGR,2010,1990,WASH_MACH_COM,B,electricity,5.422788
C-EEU-BGR,2010,1990,WASH_MACH_COM,C,electricity,6.921288
C-EEU-BGR,2010,1990,WASH_MACH_COM,D,electricity,8.535456
C-EEU-BGR,2010,1990,WASH_MACH_COM,E,electricity,9.0963
C-EEU-BGR,2010,1990,WASH_MACH_COM,F,electricity,10.193688
C-EEU-BGR,2010,1990,WASH_MACH_COM,G,electricity,11.425536
C-EEU-BGR,2010,1995,WASH_MACH_COM,A,electricity,4.057776
C-EEU-BGR,2010,1995,WASH_MACH_COM,B,electricity,5.151276
C-EEU-BGR,2010,1995,WASH_MACH_COM,C,electricity,6.576552
C-EEU-BGR,2010,1995,WASH_MACH_COM,D,electricity,8.11134
C-EEU-BGR,2010,1995,WASH_MACH_COM,E,electricity,8.638812
C-EEU-BGR,2010,1995,WASH_MACH_COM,F,electricity,9.68598
C-EEU-BGR,2010,1995,WASH_MACH_COM,G,electricity,10.854648
C-EEU-BGR,2010,2000,WASH_MACH_COM,A,electricity,3.84426
C-EEU-BGR,2010,2000,WASH_MACH_COM,B,electricity,4.879764
C-EEU-BGR,2010,2000,WASH_MACH_COM,C,electricity,6.228576
C-EEU-BGR,2010,2000,WASH_MACH_COM,D,electricity,7.684308
C-EEU-BGR,2010,2000,WASH_MACH_COM,E,electricity,8.184888
C-EEU-BGR,2010,2000,WASH_MACH_COM,F,electricity,9.175356
C-EEU-BGR,2010,2000,WASH_MACH_COM,G,electricity,10.28376
C-EEU-BGR,2010,2005,WASH_MACH_COM,A,electricity,3.661848
C-EEU-BGR,2010,2005,WASH_MACH_COM,B,electricity,4.646808
C-EEU-BGR,2010,2005,WASH_MACH_COM,C,electricity,5.934384
C-EEU-BGR,2010,2005,WASH_MACH_COM,D,electricity,7.316568
C-EEU-BGR,2010,2005,WASH_MACH_COM,E,electricity,7.79544
C-EEU-BGR,2010,2005,WASH_MACH_COM,F,electricity,8.736336
C-EEU-BGR,2010,2005,WASH_MACH_COM,G,electricity,9.792576
C-EEU-BGR,2010,2010,WASH_MACH_COM,A,electricity,3.448008
C-EEU-BGR,2010,2010,WASH_MACH_COM,B,electricity,4.375296
C-EEU-BGR,2010,2010,WASH_MACH_COM,C,electricity,5.586408
C-EEU-BGR,2010,2010,WASH_MACH_COM,D,electricity,6.889212
C-EEU-BGR,2010,2010,WASH_MACH_COM,E,electricity,7.341192
C-EEU-BGR,2010,2010,WASH_MACH_COM,F,electricity,8.228952
C-EEU-BGR,2010,2010,WASH_MACH_COM,G,electricity,9.222012
C-EEU-BGR,2015,1990,WASH_MACH,A,electricity,0.390258
C-EEU-BGR,2015,1990,WASH_MACH,B,electricity,0.4685364
C-EEU-BGR,2015,1990,WASH_MACH,C,electricity,0.5365116
C-EEU-BGR,2015,1990,WASH_MACH,D,electricity,0.6254172
C-EEU-BGR,2015,1990,WASH_MACH,E,electricity,0.69417
C-EEU-BGR,2015,1990,WASH_MACH,F,electricity,0.780192
C-EEU-BGR,2015,1990,WASH_MACH,G,electricity,0.914166
C-EEU-BGR,2015,1995,WASH_MACH,A,electricity,0.3707532
C-EEU-BGR,2015,1995,WASH_MACH,B,electricity,0.4451436
C-EEU-BGR,2015,1995,WASH_MACH,C,electricity,0.50949
C-EEU-BGR,2015,1995,WASH_MACH,D,electricity,0.594216
C-EEU-BGR,2015,1995,WASH_MACH,E,electricity,0.6596316
C-EEU-BGR,2015,1995,WASH_MACH,F,electricity,0.7412472
C-EEU-BGR,2015,1995,WASH_MACH,G,electricity,0.86832
C-EEU-BGR,2015,2000,WASH_MACH,A,electricity,0.3512808
C-EEU-BGR,2015,2000,WASH_MACH,B,electricity,0.4217832
C-EEU-BGR,2015,2000,WASH_MACH,C,electricity,0.4827924
C-EEU-BGR,2015,2000,WASH_MACH,D,electricity,0.5630472
C-EEU-BGR,2015,2000,WASH_MACH,E,electricity,0.6247692
C-EEU-BGR,2015,2000,WASH_MACH,F,electricity,0.7023024
C-EEU-BGR,2015,2000,WASH_MACH,G,electricity,0.822474
C-EEU-BGR,2015,2005,WASH_MACH,A,electricity,0.3344976
C-EEU-BGR,2015,2005,WASH_MACH,B,electricity,0.4016952
C-EEU-BGR,2015,2005,WASH_MACH,C,electricity,0.4599504
C-EEU-BGR,2015,2005,WASH_MACH,D,electricity,0.5360256
C-EEU-BGR,2015,2005,WASH_MACH,E,electricity,0.5949936
C-EEU-BGR,2015,2005,WASH_MACH,F,electricity,0.668736
C-EEU-BGR,2015,2005,WASH_MACH,G,electricity,0.783432
C-EEU-BGR,2015,2010,WASH_MACH,A,electricity,0.3150252
C-EEU-BGR,2015,2010,WASH_MACH,B,electricity,0.3783024
C-EEU-BGR,2015,2010,WASH_MACH,C,electricity,0.4329288
C-EEU-BGR,2015,2010,WASH_MACH,D,electricity,0.5048244
C-EEU-BGR,2015,2010,WASH_MACH,E,electricity,0.5604552
C-EEU-BGR,2015,2010,WASH_MACH,F,electricity,0.6297912
C-EEU-BGR,2015,2010,WASH_MACH,G,electricity,0.737586
C-EEU-BGR,2015,2015,WASH_MACH,A,electricity,0.2974968
C-EEU-BGR,2015,2015,WASH_MACH,B,electricity,0.3570804
C-EEU-BGR,2015,2015,WASH_MACH,C,electricity,0.408888
C-EEU-BGR,2015,2015,WASH_MACH,D,electricity,0.4768308
C-EEU-BGR,2015,2015,WASH_MACH,E,electricity,0.5292864
C-EEU-BGR,2015,2015,WASH_MACH,F,electricity,0.5947344
C-EEU-BGR,2015,2015,WASH_MACH,G,electricity,0.6966
C-EEU-BGR,2015,1990,WASH_MACH_COM,A,electricity,4.271616
C-EEU-BGR,2015,1990,WASH_MACH_COM,B,electricity,5.422788
C-EEU-BGR,2015,1990,WASH_MACH_COM,C,electricity,6.921288
C-EEU-BGR,2015,1990,WASH_MACH_COM,D,electricity,8.535456
C-EEU-BGR,2015,1990,WASH_MACH_COM,E,electricity,9.0963
C-EEU-BGR,2015,1990,WASH_MACH_COM,F,electricity,10.193688
C-EEU-BGR,2015,1990,WASH_MACH_COM,G,electricity,11.425536
C-EEU-BGR,2015,1995,WASH_MACH_COM,A,electricity,4.057776
C-EEU-BGR,2015,1995,WASH_MACH_COM,B,electricity,5.151276
C-EEU-BGR,2015,1995,WASH_MACH_COM,C,electricity,6.576552
C-EEU-BGR,2015,1995,WASH_MACH_COM,D,electricity,8.11134
C-EEU-BGR,2015,1995,WASH_MACH_COM,E,electricity,8.638812
C-EEU-BGR,2015,1995,WASH_MACH_COM,F,electricity,9.68598
C-EEU-BGR,2015,1995,WASH_MACH_COM,G,electricity,10.854648
C-EEU-BGR,2015,2000,WASH_MACH_COM,A,electricity,3.84426
C-EEU-BGR,2015,2000,WASH_MACH_COM,B,electricity,4.879764
C-EEU-BGR,2015,2000,WASH_MACH_COM,C,electricity,6.228576
C-EEU-BGR,2015,2000,WASH_MACH_COM,D,electricity,7.684308
C-EEU-BGR,2015,2000,WASH_MACH_COM,E,electricity,8.184888
C-EEU-BGR,2015,2000,WASH_MACH_COM,F,electricity,9.175356
C-EEU-BGR,2015,2000,WASH_MACH_COM,G,electricity,10.28376
C-EEU-BGR,2015,2005,WASH_MACH_COM,A,electricity,3.661848
C-EEU-BGR,2015,2005,WASH_MACH_COM,B,electricity,4.646808
C-EEU-BGR,2015,2005,WASH_MACH_COM,C,electricity,5.934384
C-EEU-BGR,2015,2005,WASH_MACH_COM,D,electricity,7.316568
C-EEU-BGR,2015,2005,WASH_MACH_COM,E,electricity,7.79544
C-EEU-BGR,2015,2005,WASH_MACH_COM,F,electricity,8.736336
C-EEU-BGR,2015,2005,WASH_MACH_COM,G,electricity,9.792576
C-EEU-BGR,2015,2010,WASH_MACH_COM,A,electricity,3.448008
C-EEU-BGR,2015,2010,WASH_MACH_COM,B,electricity,4.375296
C-EEU-BGR,2015,2010,WASH_MACH_COM,C,electricity,5.586408
C-EEU-BGR,2015,2010,WASH_MACH_COM,D,electricity,6.889212
C-EEU-BGR,2015,2010,WASH_MACH_COM,E,electricity,7.341192
C-EEU-BGR,2015,2010,WASH_MACH_COM,F,electricity,8.228952
C-EEU-BGR,2015,2010,WASH_MACH_COM,G,electricity,9.222012
C-EEU-BGR,2015,2015,WASH_MACH_COM,A,electricity,3.258144
C-EEU-BGR,2015,2015,WASH_MACH_COM,B,electricity,4.133268
C-EEU-BGR,2015,2015,WASH_MACH_COM,C,electricity,5.275044
C-EEU-BGR,2015,2015,WASH_MACH_COM,D,electricity,6.50592
C-EEU-BGR,2015,2015,WASH_MACH_COM,E,electricity,6.932628
C-EEU-BGR,2015,2015,WASH_MACH_COM,F,electricity,7.76952
C-EEU-BGR,2015,2015,WASH_MACH_COM,G,electricity,8.708796
C-EEU-BGR,2020,1990,WASH_MACH,A,electricity,0.390258
C-EEU-BGR,2020,1990,WASH_MACH,B,electricity,0.4685364
C-EEU-BGR,2020,1990,WASH_MACH,C,electricity,0.5365116
C-EEU-BGR,2020,1990,WASH_MACH,D,electricity,0.6254172
C-EEU-BGR,2020,1990,WASH_MACH,E,electricity,0.69417
C-EEU-BGR,2020,1990,WASH_MACH,F,electricity,0.780192
C-EEU-BGR,2020,1990,WASH_MACH,G,electricity,0.914166
C-EEU-BGR,2020,1995,WASH_MACH,A,electricity,0.3707532
C-EEU-BGR,2020,1995,WASH_MACH,B,electricity,0.4451436
C-EEU-BGR,2020,1995,WASH_MACH,C,electricity,0.50949
C-EEU-BGR,2020,1995,WASH_MACH,D,electricity,0.594216
C-EEU-BGR,2020,1995,WASH_MACH,E,electricity,0.6596316
C-EEU-BGR,2020,1995,WASH_MACH,F,electricity,0.7412472
C-EEU-BGR,2020,1995,WASH_MACH,G,electricity,0.86832
C-EEU-BGR,2020,2000,WASH_MACH,A,electricity,0.3512808
C-EEU-BGR,2020,2000,WASH_MACH,B,electricity,0.4217832
C-EEU-BGR,2020,2000,WASH_MACH,C,electricity,0.4827924
C-EEU-BGR,2020,2000,WASH_MACH,D,electricity,0.5630472
C-EEU-BGR,2020,2000,WASH_MACH,E,electricity,0.6247692
C-EEU-BGR,2020,2000,WASH_MACH,F,electricity,0.7023024
C-EEU-BGR,2020,2000,WASH_MACH,G,electricity,0.822474
C-EEU-BGR,2020,2005,WASH_MACH,A,electricity,0.3344976
C-EEU-BGR,2020,2005,WASH_MACH,B,electricity,0.4016952
C-EEU-BGR,2020,2005,WASH_MACH,C,electricity,0.4599504
C-EEU-BGR,2020,2005,WASH_MACH,D,electricity,0.5360256
C-EEU-BGR,2020,2005,WASH_MACH,E,electricity,0.5949936
C-EEU-BGR,2020,2005,WASH_MACH,F,electricity,0.668736
C-EEU-BGR,2020,2005,WASH_MACH,G,electricity,0.783432
C-EEU-BGR,2020,2010,WASH_MACH,A,electricity,0.3150252
C-EEU-BGR,2020,2010,WASH_MACH,B,electricity,0.3783024
C-EEU-BGR,2020,2010,WASH_MACH,C,electricity,0.4329288
C-EEU-BGR,2020,2010,WASH_MACH,D,electricity,0.5048244
C-EEU-BGR,2020,2010,WASH_MACH,E,electricity,0.5604552
C-EEU-BGR,2020,2010,WASH_MACH,F,electricity,0.6297912
C-EEU-BGR,2020,2010,WASH_MACH,G,electricity,0.737586
C-EEU-BGR,2020,2015,WASH_MACH,A,electricity,0.2974968
C-EEU-BGR,2020,2015,WASH_MACH,B,electricity,0.3570804
C-EEU-BGR,2020,2015,WASH_MACH,C,electricity,0.408888
C-EEU-BGR,2020,2015,WASH_MACH,D,electricity,0.4768308
C-EEU-BGR,2020,2015,WASH_MACH,E,electricity,0.5292864
C-EEU-BGR,2020,2015,WASH_MACH,F,electricity,0.5947344
C-EEU-BGR,2020,2015,WASH_MACH,G,electricity,0.6966
C-EEU-BGR,2020,2020,WASH_MACH,A,electricity,0.27864
C-EEU-BGR,2020,2020,WASH_MACH,B,electricity,0.335016
C-EEU-BGR,2020,2020,WASH_MACH,C,electricity,0.382968
C-EEU-BGR,2020,2020,WASH_MACH,D,electricity,0.44712
C-EEU-BGR,2020,2020,WASH_MACH,E,electricity,0.49572
C-EEU-BGR,2020,2020,WASH_MACH,F,electricity,0.55728
C-EEU-BGR,2020,2020,WASH_MACH,G,electricity,0.653184
C-EEU-BGR,2020,1990,WASH_MACH_COM,A,electricity,4.271616
C-EEU-BGR,2020,1990,WASH_MACH_COM,B,electricity,5.422788
C-EEU-BGR,2020,1990,WASH_MACH_COM,C,electricity,6.921288
C-EEU-BGR,2020,1990,WASH_MACH_COM,D,electricity,8.535456
C-EEU-BGR,2020,1990,WASH_MACH_COM,E,electricity,9.0963
C-EEU-BGR,2020,1990,WASH_MACH_COM,F,electricity,10.193688
C-EEU-BGR,2020,1990,WASH_MACH_COM,G,electricity,11.425536
C-EEU-BGR,2020,1995,WASH_MACH_COM,A,electricity,4.057776
C-EEU-BGR,2020,1995,WASH_MACH_COM,B,electricity,5.151276
C-EEU-BGR,2020,1995,WASH_MACH_COM,C,electricity,6.576552
C-EEU-BGR,2020,1995,WASH_MACH_COM,D,electricity,8.11134
C-EEU-BGR,2020,1995,WASH_MACH_COM,E,electricity,8.638812
C-EEU-BGR,2020,1995,WASH_MACH_COM,F,electricity,9.68598
C-EEU-BGR,2020,1995,WASH_MACH_COM,G,electricity,10.854648
C-EEU-BGR,2020,2000,WASH_MACH_COM,A,electricity,3.84426
C-EEU-BGR,2020,2000,WASH_MACH_COM,B,electricity,4.879764
C-EEU-BGR,2020,2000,WASH_MACH_COM,C,electricity,6.228576
C-EEU-BGR,2020,2000,WASH_MACH_COM,D,electricity,7.684308
C-EEU-BGR,2020,2000,WASH_MACH_COM,E,electricity,8.184888
C-EEU-BGR,2020,2000,WASH_MACH_COM,F,electricity,9.175356
C-EEU-BGR,2020,2000,WASH_MACH_COM,G,electricity,10.28376
C-EEU-BGR,2020,2005,WASH_MACH_COM,A,electricity,3.661848
C-EEU-BGR,2020,2005,WASH_MACH_COM,B,electricity,4.646808
C-EEU-BGR,2020,2005,WASH_MACH_COM,C,electricity,5.934384
C-EEU-BGR,2020,2005,WASH_MACH_COM,D,electricity,7.316568
C-EEU-BGR,2020,2005,WASH_MACH_COM,E,electricity,7.79544
C-EEU-BGR,2020,2005,WASH_MACH_COM,F,electricity,8.736336
C-EEU-BGR,2020,2005,WASH_MACH_COM,G,electricity,9.792576
C-EEU-BGR,2020,2010,WASH_MACH_COM,A,electricity,3.448008
C-EEU-BGR,2020,2010,WASH_MACH_COM,B,electricity,4.375296
C-EEU-BGR,2020,2010,WASH_MACH_COM,C,electricity,5.586408
C-EEU-BGR,2020,2010,WASH_MACH_COM,D,electricity,6.889212
C-EEU-BGR,2020,2010,WASH_MACH_COM,E,electricity,7.341192
C-EEU-BGR,2020,2010,WASH_MACH_COM,F,electricity,8.228952
C-EEU-BGR,2020,2010,WASH_MACH_COM,G,electricity,9.222012
