scenario_supply,region_gea,material,production,year,emission_factor,unit
1p5C,AFR,wood,primary,2060,0.05215935,kgco2e/kg
1p5C,AFR,wood,primary,2070,0.048932917,kgco2e/kg
1p5C,AFR,wood,primary,2080,0.048168347,kgco2e/kg
1p5C,AFR,wood,primary,2090,0.048048972,kgco2e/kg
1p5C,AFR,wood,primary,2100,0.048945219,kgco2e/kg
1p5C,CPA,aluminum,primary,2020,14.50751932,kgco2e/kg
1p5C,CPA,aluminum,primary,2025,14.38359667,kgco2e/kg
1p5C,CPA,aluminum,primary,2030,9.00090841,kgco2e/kg
1p5C,CPA,aluminum,primary,2040,7.186998292,kgco2e/kg
1p5C,CPA,aluminum,primary,2050,6.8485999,kgco2e/kg
1p5C,CPA,aluminum,primary,2060,6.788696639,kgco2e/kg
1p5C,CPA,aluminum,primary,2070,6.704250939,kgco2e/kg
1p5C,CPA,aluminum,primary,2080,6.680817315,kgco2e/kg
1p5C,CPA,aluminum,primary,2090,6.592503523,kgco2e/kg
1p5C,CPA,aluminum,primary,2100,6.549247031,kgco2e/kg
1p5C,CPA,aluminum,secondary,2020,0.922967288,kgco2e/kg
1p5C,CPA,aluminum,secondary,2025,0.911334575,kgco2e/kg
1p5C,CPA,aluminum,secondary,2030,0.731229512,kgco2e/kg
1p5C,CPA,aluminum,secondary,2040,0.672749871,kgco2e/kg
1p5C,CPA,aluminum,secondary,2050,0.655466196,kgco2e/kg
1p5C,CPA,aluminum,secondary,2060,0.646293106,kgco2e/kg
1p5C,CPA,aluminum,secondary,2070,0.639624334,kgco2e/kg
1p5C,CPA,aluminum,secondary,2080,0.637775006,kgco2e/kg
1p5C,CPA,aluminum,secondary,2090,0.631954518,kgco2e/kg
1p5C,CPA,aluminum,secondary,2100,0.630429008,kgco2e/kg
1p5C,CPA,brick,primary,2020,0.255354211,kgco2e/kg
1p5C,CPA,brick,primary,2025,0.25439529,kgco2e/kg
1p5C,CPA,brick,primary,2030,0.233040632,kgco2e/kg
1p5C,CPA,brick,primary,2040,0.224760201,kgco2e/kg
1p5C,CPA,brick,primary,2050,0.221729875,kgco2e/kg
1p5C,CPA,brick,primary,2060,0.220215128,kgco2e/kg
1p5C,CPA,brick,primary,2070,0.219133406,kgco2e/kg
1p5C,CPA,brick,primary,2080,0.218868301,kgco2e/kg
1p5C,CPA,brick,primary,2090,0.218697756,kgco2e/kg
1p5C,CPA,brick,primary,2100,0.21894062,kgco2e/kg
1p5C,CPA,concrete,primary,2020,0.82534951,kgco2e/kg
1p5C,CPA,concrete,primary,2025,0.811688062,kgco2e/kg
1p5C,CPA,concrete,primary,2030,0.60971964,kgco2e/kg
1p5C,CPA,concrete,primary,2040,0.50402275,kgco2e/kg
1p5C,CPA,concrete,primary,2050,0.451483976,kgco2e/kg
1p5C,CPA,concrete,primary,2060,0.415725573,kgco2e/kg
1p5C,CPA,concrete,primary,2070,0.423893279,kgco2e/kg
1p5C,CPA,concrete,primary,2080,0.451073993,kgco2e/kg
1p5C,CPA,concrete,primary,2090,0.466474385,kgco2e/kg
1p5C,CPA,concrete,primary,2100,0.469513325,kgco2e/kg
1p5C,CPA,copper,primary,2020,5.671664441,kgco2e/kg
1p5C,CPA,copper,primary,2025,5.5737000525,kgco2e/kg
1p5C,CPA,copper,primary,2030,3.537172299,kgco2e/kg
1p5C,CPA,copper,primary,2040,2.764253245,kgco2e/kg
1p5C,CPA,copper,primary,2050,2.568063353,kgco2e/kg
1p5C,CPA,copper,primary,2060,2.488230133,kgco2e/kg
1p5C,CPA,copper,primary,2070,2.419654943,kgco2e/kg
1p5C,CPA,copper,primary,2080,2.402930078,kgco2e/kg
1p5C,CPA,copper,primary,2090,2.371150072,kgco2e/kg
1p5C,CPA,copper,primary,2100,2.36828894,kgco2e/kg
1p5C,CPA,copper,secondary,2020,1.650324957,kgco2e/kg
